Rank,Team,GM,W-L,ORebs,ORPG
1,Kentucky (SEC),34,22-12,472,13.88
2,South Carolina St. (MEAC),31,5-26,429,13.84
3,Eastern Ky. (ASUN),37,23-14,503,13.59
4,Saint Peter's (MAAC),32,14-18,433,13.53
5,UAB (CUSA),39,29-10,526,13.49
6,Col. of Charleston (CAA),35,31-4,472,13.49
7,Kansas City (Summit League),32,11-21,430,13.44
8,Detroit Mercy (Horizon),33,14-19,433,13.12
8,St. John's (NY) (Big East),33,18-15,433,13.12
10,Alabama (SEC),37,31-6,484,13.08
11,Massachusetts (Atlantic 10),31,15-16,404,13.03
12,Long Beach St. (Big West),33,17-16,429,13.00
12,UConn (Big East),39,31-8,507,13.00
14,Mississippi St. (SEC),34,21-13,440,12.94
15,Tennessee (SEC),36,25-11,464,12.89
16,Wagner (NEC),28,15-13,360,12.86
17,Houston (AAC),37,33-4,474,12.81
18,UT Arlington (WAC),32,11-21,407,12.72
19,Cleveland St. (Horizon),35,21-14,438,12.51
20,Alabama St. (SWAC),31,8-23,387,12.48
21,Texas A&M (SEC),35,25-10,435,12.43
22,Duquesne (Atlantic 10),33,20-13,410,12.42
23,McNeese (Southland),34,11-23,422,12.41
24,Marshall (Sun Belt),32,24-8,395,12.34
25,Towson (CAA),33,21-12,407,12.33
26,Purdue (Big Ten),35,29-6,430,12.29
27,Western Mich. (MAC),31,8-23,379,12.23
28,East Carolina (AAC),33,16-17,403,12.21
29,A&M-Corpus Christi (Southland),35,24-11,425,12.14
30,Northwestern St. (Southland),33,22-11,400,12.12
30,Providence (Big East),33,21-12,400,12.12
32,Old Dominion (Sun Belt),31,19-12,375,12.10
33,Ohio (MAC),33,19-14,399,12.09
34,San Jose St. (Mountain West),35,21-14,423,12.09
35,Iowa (Big Ten),33,19-14,398,12.06
36,Alcorn (SWAC),32,18-14,384,12.00
36,Duke (ACC),36,27-9,432,12.00
36,Ole Miss (SEC),33,12-21,396,12.00
39,UMass Lowell (America East),34,26-8,406,11.94
40,Milwaukee (Horizon),34,22-12,405,11.91
41,James Madison (Sun Belt),33,22-11,393,11.91
42,South Fla. (AAC),32,14-18,381,11.91
43,Prairie View (SWAC),32,13-19,378,11.81
43,South Carolina (SEC),32,11-21,378,11.81
45,Buffalo (MAC),32,15-17,377,11.78
45,UC Davis (Big West),32,18-14,377,11.78
47,Chicago St. (DI Independent),31,11-20,365,11.77
48,Lamar University (Southland),31,9-22,364,11.74
49,Rhode Island (Atlantic 10),31,9-22,363,11.71
50,High Point (Big South),31,14-17,362,11.68
50,Morgan St. (MEAC),31,15-16,362,11.68
52,UTEP (CUSA),32,14-18,373,11.66
53,Auburn (SEC),34,21-13,396,11.65
54,Jackson St. (SWAC),33,14-19,384,11.64
55,Howard (MEAC),35,22-13,407,11.63
56,Charleston So. (Big South),31,10-21,360,11.61
57,Rutgers (Big Ten),34,19-15,394,11.59
58,Texas Southern (SWAC),35,14-21,405,11.57
59,UCF (AAC),34,19-15,393,11.56
60,FDU (NEC),37,21-16,427,11.54
61,Nicholls (Southland),31,16-15,357,11.52
62,Iowa St. (Big 12),33,19-14,380,11.52
63,Baylor (Big 12),34,23-11,391,11.50
64,TCU (Big 12),35,22-13,402,11.49
65,UC Riverside (Big West),34,22-12,390,11.47
66,Sam Houston (WAC),34,26-8,388,11.41
67,Quinnipiac (MAAC),32,20-12,365,11.41
68,St. Francis Brooklyn (NEC),30,14-16,342,11.40
69,LSU (SEC),33,14-19,376,11.39
70,Oklahoma St. (Big 12),36,20-16,410,11.39
71,Missouri St. (MVC),32,17-15,363,11.34
72,NC State (ACC),34,23-11,385,11.32
73,Rider (MAAC),30,16-14,339,11.30
74,UCLA (Pac-12),37,31-6,418,11.30
75,La Salle (Atlantic 10),34,15-19,384,11.29
76,SIUE (OVC),33,19-14,372,11.27
77,Vanderbilt (SEC),37,22-15,417,11.27
78,West Virginia (Big 12),34,19-15,383,11.26
79,Coastal Carolina (Sun Belt),31,11-20,349,11.26
80,Northern Ky. (Horizon),35,22-13,394,11.26
81,Seattle U (WAC),32,20-12,359,11.22
82,Delaware St. (MEAC),30,6-24,336,11.20
83,Cincinnati (AAC),36,23-13,403,11.19
84,Central Ark. (ASUN),31,9-22,347,11.19
85,North Carolina (ACC),33,20-13,369,11.18
86,Longwood (Big South),32,20-12,357,11.16
86,Utah (Pac-12),32,17-15,357,11.16
88,Iona (MAAC),35,27-8,389,11.11
89,Illinois (Big Ten),33,20-13,366,11.09
89,Middle Tenn. (CUSA),33,19-14,366,11.09
89,Southern Miss. (Sun Belt),33,25-8,366,11.09
92,Louisiana (Sun Belt),34,26-8,377,11.09
93,Colorado (Pac-12),35,18-17,388,11.09
94,Central Mich. (MAC),31,10-21,343,11.06
94,Georgia St. (Sun Belt),31,10-21,343,11.06
96,Monmouth (CAA),33,7-26,365,11.06
97,Northeastern (CAA),30,10-20,331,11.03
98,Grambling (SWAC),33,24-9,364,11.03
99,Kent St. (MAC),35,28-7,386,11.03
100,Oregon (Pac-12),36,21-15,397,11.03
101,BYU (Big 12),34,19-15,374,11.00
102,Arizona St. (Pac-12),36,23-13,395,10.97
103,California Baptist (WAC),33,17-16,362,10.97
103,Norfolk St. (MEAC),33,22-11,362,10.97
103,Troy (Sun Belt),33,20-13,362,10.97
106,Little Rock (OVC),31,10-21,339,10.94
107,N.C. Central (MEAC),30,18-12,328,10.93
108,San Diego St. (Mountain West),39,32-7,426,10.92
109,VMI (SoCon),32,7-25,349,10.91
110,Fla. Atlantic (CUSA),39,35-4,425,10.90
111,Louisiana Tech (CUSA),33,15-18,359,10.88
112,Sacramento St. (Big Sky),32,14-18,348,10.88
113,Washington St. (Pac-12),34,17-17,369,10.85
114,Georgia (SEC),32,16-16,347,10.84
115,Fordham (Atlantic 10),33,25-8,356,10.79
116,Georgetown (Big East),32,7-25,345,10.78
116,ULM (Sun Belt),32,11-21,345,10.78
116,UTRGV (WAC),32,15-17,345,10.78
119,ETSU (SoCon),32,12-20,343,10.72
120,North Texas (CUSA),38,31-7,407,10.71
121,SFA (WAC),32,19-13,342,10.69
122,Harvard (Ivy League),28,14-14,299,10.68
123,Southern Utah (WAC),37,24-13,395,10.68
124,UTSA (CUSA),32,10-22,341,10.66
125,Santa Clara (WCC),33,23-10,351,10.64
126,Bryant (America East),30,17-13,318,10.60
126,Saint Mary's (CA) (WCC),35,27-8,371,10.60
128,LMU (CA) (WCC),31,19-12,328,10.58
129,Georgia Tech (ACC),33,15-18,349,10.58
129,Sacred Heart (NEC),33,16-17,349,10.58
129,Seton Hall (Big East),33,17-16,349,10.58
132,Ohio St. (Big Ten),35,16-19,370,10.57
133,Ball St. (MAC),32,20-12,337,10.53
134,Bowling Green (MAC),31,11-20,326,10.52
135,Presbyterian (Big South),32,5-27,336,10.50
135,Tennessee St. (OVC),32,18-14,336,10.50
137,UT Martin (OVC),33,19-14,346,10.48
138,Hampton (CAA),32,8-24,335,10.47
138,SMU (AAC),32,10-22,335,10.47
138,UNLV (Mountain West),32,19-13,335,10.47
141,Texas Tech (Big 12),32,16-16,334,10.44
142,Canisius (MAAC),30,10-20,313,10.43
143,Memphis (AAC),35,26-9,364,10.40
144,Cornell (Ivy League),28,17-11,291,10.39
145,Miami (FL) (ACC),37,29-8,384,10.38
146,Mercer (SoCon),33,14-19,342,10.36
146,Saint Joseph's (Atlantic 10),33,16-17,342,10.36
146,Stanford (Pac-12),33,14-19,342,10.36
149,Arkansas (SEC),36,22-14,373,10.36
150,Gonzaga (WCC),37,31-6,383,10.35
151,Youngstown St. (Horizon),34,24-10,351,10.32
152,Stetson (ASUN),31,17-14,320,10.32
153,Drexel (CAA),32,17-15,330,10.31
153,Houston Christian (Southland),32,10-22,330,10.31
153,UNC Greensboro (SoCon),32,20-12,330,10.31
156,Northwestern (Big Ten),34,22-12,350,10.29
157,Southeastern La. (Southland),32,18-14,329,10.28
158,Radford (Big South),36,21-15,370,10.28
159,Xavier (Big East),37,27-10,380,10.27
160,Jacksonville St. (ASUN),31,13-18,318,10.26
161,Texas St. (Sun Belt),35,16-19,359,10.26
162,Boston U. (Patriot),32,15-17,328,10.25
162,New Mexico St. (WAC),24,9-15,246,10.25
164,Abilene Christian (WAC),30,13-17,307,10.23
164,New Hampshire (America East),30,15-15,307,10.23
166,UAlbany (America East),31,8-23,317,10.23
167,Robert Morris (Horizon),33,16-17,337,10.21
168,Columbia (Ivy League),29,7-22,296,10.21
169,Utah Valley (WAC),37,28-9,377,10.19
170,Florida A&M (SWAC),29,7-22,295,10.17
171,Arizona (Pac-12),35,28-7,356,10.17
172,Princeton (Ivy League),32,23-9,325,10.16
173,Akron (MAC),33,22-11,335,10.15
173,Saint Louis (Atlantic 10),33,21-12,335,10.15
175,Penn (Ivy League),30,17-13,304,10.13
176,Ark.-Pine Bluff (SWAC),31,10-21,314,10.13
176,San Diego (WCC),31,11-20,314,10.13
178,Central Conn. St. (NEC),32,10-22,324,10.13
178,Syracuse (ACC),32,17-15,324,10.13
180,Alabama A&M (SWAC),33,15-18,334,10.12
181,Northern Ariz. (Big Sky),35,12-23,354,10.11
182,Grand Canyon (WAC),36,24-12,364,10.11
182,Pittsburgh (ACC),36,24-12,364,10.11
184,Siena (MAAC),32,17-15,323,10.09
185,Toledo (MAC),35,27-8,353,10.09
186,Austin Peay (ASUN),31,9-22,312,10.06
187,Bethune-Cookman (SWAC),32,12-20,321,10.03
188,Gardner-Webb (Big South),31,15-16,310,10.00
188,Navy (Patriot),31,18-13,310,10.00
188,William & Mary (CAA),33,13-20,330,10.00
191,Samford (SoCon),32,21-11,319,9.97
192,Purdue Fort Wayne (Horizon),32,17-15,318,9.94
193,Yale (Ivy League),30,21-9,298,9.93
194,Mississippi Val. (SWAC),32,5-27,316,9.88
195,Kansas St. (Big 12),36,26-10,355,9.86
196,Western Caro. (SoCon),34,18-16,335,9.85
197,Arkansas St. (Sun Belt),33,13-20,325,9.85
197,Ga. Southern (Sun Belt),33,17-16,325,9.85
199,Fairfield (MAAC),31,13-18,305,9.84
199,UMES (MEAC),31,18-13,305,9.84
201,Kansas (Big 12),36,28-8,353,9.81
202,CSUN (Big West),32,7-25,313,9.78
203,Maryland (Big Ten),35,22-13,342,9.77
204,New Mexico (Mountain West),34,22-12,332,9.76
205,Furman (SoCon),36,28-8,351,9.75
205,Wichita St. (AAC),32,17-15,312,9.75
207,Bradley (MVC),35,25-10,341,9.74
207,UC Irvine (Big West),35,23-12,341,9.74
209,Temple (AAC),32,16-16,311,9.72
210,Binghamton (America East),31,13-18,301,9.71
211,Hawaii (Big West),33,22-11,320,9.70
212,New Orleans (Southland),32,12-20,309,9.66
213,Southeast Mo. St. (OVC),36,19-17,347,9.64
214,Texas (Big 12),38,29-9,366,9.63
215,Kennesaw St. (ASUN),35,26-9,337,9.63
216,San Francisco (WCC),34,20-14,326,9.59
217,Chattanooga (SoCon),35,18-17,335,9.57
218,Morehead St. (OVC),34,22-12,325,9.56
219,UNCW (CAA),34,24-10,324,9.53
220,LIU (NEC),29,3-26,275,9.48
221,Western Ill. (Summit League),30,16-14,284,9.47
222,Wofford (SoCon),33,17-16,312,9.45
223,Dayton (Atlantic 10),34,22-12,321,9.44
224,CSU Bakersfield (Big West),33,11-22,311,9.42
225,FGCU (ASUN),32,17-15,301,9.41
225,Murray St. (MVC),32,17-15,301,9.41
225,St. Bonaventure (Atlantic 10),32,14-18,301,9.41
228,Southern California (Pac-12),33,22-11,310,9.39
228,Tennessee Tech (OVC),33,16-17,310,9.39
230,N.C. A&T (CAA),32,13-19,300,9.38
231,Boston College (ACC),33,16-17,308,9.33
231,Mount St. Mary's (MAAC),33,13-20,308,9.33
233,Portland St. (Big Sky),31,12-19,289,9.32
234,Eastern Ill. (OVC),31,9-22,288,9.29
235,IU Indy (Horizon),32,5-27,297,9.28
235,UMBC (America East),32,18-14,297,9.28
237,VCU (Atlantic 10),35,27-8,324,9.26
238,DePaul (Big East),33,10-23,305,9.24
239,Pepperdine (WCC),31,9-22,286,9.23
240,North Dakota (Summit League),33,13-20,304,9.21
240,Wright St. (Horizon),33,18-15,304,9.21
242,Louisville (ACC),32,4-28,294,9.19
243,Cal St. Fullerton (Big West),33,20-13,303,9.18
244,Indiana (Big Ten),35,23-12,321,9.17
245,UIW (Southland),31,12-19,284,9.16
246,George Mason (Atlantic 10),33,20-13,302,9.15
247,Manhattan (MAAC),30,12-18,274,9.13
248,Loyola Maryland (Patriot),33,13-20,301,9.12
249,Hartford (DI Independent),28,5-23,255,9.11
250,Western Ky. (CUSA),33,17-16,300,9.09
251,Denver (Summit League),32,15-17,290,9.06
252,Tulsa (AAC),30,5-25,271,9.03
253,Boise St. (Mountain West),34,24-10,307,9.03
253,Michigan St. (Big Ten),34,21-13,307,9.03
255,App State (Sun Belt),32,16-16,288,9.00
255,North Florida (ASUN),31,14-17,279,9.00
257,Eastern Wash. (Big Sky),34,23-11,305,8.97
258,Miami (OH) (MAC),32,12-20,287,8.97
259,Oral Roberts (Summit League),35,30-5,313,8.94
260,Washington (Pac-12),32,16-16,286,8.94
261,Brown (Ivy League),27,14-13,241,8.93
262,Marist (MAAC),33,13-20,294,8.91
263,George Washington (Atlantic 10),32,16-16,284,8.88
264,Missouri (SEC),35,25-10,310,8.86
265,Michigan (Big Ten),34,18-16,300,8.82
266,Marquette (Big East),36,29-7,317,8.81
267,Elon (CAA),32,8-24,281,8.78
267,Southern U. (SWAC),32,15-17,281,8.78
269,Lipscomb (ASUN),33,20-13,289,8.76
270,Illinois St. (MVC),32,11-21,280,8.75
271,NIU (MAC),32,13-19,279,8.72
272,Eastern Mich. (MAC),31,8-23,270,8.71
273,NJIT (America East),30,7-23,261,8.70
274,California (Pac-12),32,3-29,278,8.69
274,Florida St. (ACC),32,9-23,278,8.69
276,Delaware (CAA),33,17-16,286,8.67
277,South Dakota (Summit League),31,12-19,267,8.61
278,FIU (CUSA),32,14-18,275,8.59
279,Utah St. (Mountain West),35,26-9,300,8.57
280,Saint Francis (PA) (NEC),31,13-18,265,8.55
281,North Ala. (ASUN),33,18-15,282,8.55
282,Cal Poly (Big West),33,8-25,281,8.52
282,North Dakota St. (Summit League),33,16-17,281,8.52
284,Army West Point (Patriot),33,17-16,280,8.48
285,Virginia Tech (ACC),34,19-15,288,8.47
286,Minnesota (Big Ten),31,9-22,262,8.45
287,Dartmouth (Ivy League),28,10-18,236,8.43
287,UNC Asheville (Big South),35,27-8,295,8.43
289,Florida (SEC),33,16-17,278,8.42
290,UIC (MVC),32,12-20,269,8.41
291,Rice (CUSA),35,19-16,294,8.40
292,Oakland (Horizon),32,13-19,268,8.38
292,USC Upstate (Big South),32,16-16,268,8.38
294,Lafayette (Patriot),34,11-23,284,8.35
295,Belmont (MVC),32,21-11,267,8.34
296,Wake Forest (ACC),33,19-14,275,8.33
297,Montana St. (Big Sky),35,25-10,291,8.31
298,Davidson (Atlantic 10),32,16-16,265,8.28
299,Virginia (ACC),33,25-8,273,8.27
300,Creighton (Big East),37,24-13,306,8.27
301,Nebraska (Big Ten),32,16-16,264,8.25
302,Liberty (ASUN),36,27-9,296,8.22
303,Northern Colo. (Big Sky),32,12-20,263,8.22
304,Bucknell (Patriot),32,12-20,260,8.13
304,Winthrop (Big South),32,15-17,260,8.13
306,Portland (WCC),33,14-19,268,8.12
307,American (Patriot),32,17-15,259,8.09
307,Idaho St. (Big Sky),32,11-21,259,8.09
307,Omaha (Summit League),32,9-23,259,8.09
310,Pacific (WCC),33,15-18,267,8.09
311,Niagara (MAAC),31,16-15,250,8.06
312,Fresno St. (Mountain West),31,11-20,248,8.00
313,Colgate (Patriot),35,26-9,279,7.97
313,UC Santa Barbara (Big West),35,27-8,279,7.97
315,Holy Cross (Patriot),32,10-22,255,7.97
316,Drake (MVC),35,27-8,278,7.94
316,Wisconsin (Big Ten),35,20-15,278,7.94
318,Oregon St. (Pac-12),32,11-21,254,7.94
319,Wyoming (Mountain West),31,9-22,246,7.94
320,Evansville (MVC),32,5-27,252,7.88
321,Campbell (Big South),34,16-18,267,7.85
322,Valparaiso (MVC),32,11-21,251,7.84
323,Hofstra (CAA),35,25-10,271,7.74
324,Maine (America East),30,13-17,232,7.73
325,Stony Brook (CAA),33,11-22,252,7.64
326,UNI (MVC),32,14-18,244,7.63
327,Jacksonville (ASUN),29,13-16,220,7.59
328,Loyola Chicago (Atlantic 10),31,10-21,233,7.52
329,Nevada (Mountain West),33,22-11,245,7.42
330,Clemson (ACC),34,23-11,252,7.41
331,Montana (Big Sky),31,17-14,229,7.39
332,Green Bay (Horizon),32,3-29,235,7.34
333,The Citadel (SoCon),32,10-22,234,7.31
334,Oklahoma (Big 12),32,15-17,232,7.25
335,Villanova (Big East),34,17-17,246,7.24
336,South Dakota St. (Summit League),32,19-13,223,6.97
337,Idaho (Big Sky),32,10-22,222,6.94
338,Indiana St. (MVC),36,23-13,249,6.92
339,South Alabama (Sun Belt),35,19-16,242,6.91
340,Southern Ill. (MVC),33,23-10,228,6.91
341,Richmond (Atlantic 10),33,15-18,226,6.85
342,Tulane (AAC),31,20-11,211,6.81
343,Lehigh (Patriot),30,16-14,203,6.77
344,Air Force (Mountain West),32,14-18,213,6.66
345,Weber St. (Big Sky),33,18-15,218,6.61
346,Notre Dame (ACC),32,11-21,210,6.56
347,Vermont (America East),34,23-11,220,6.47
348,Butler (Big East),32,14-18,207,6.47
348,Coppin St. (MEAC),32,9-23,207,6.47
350,Charlotte (CUSA),36,22-14,231,6.42
351,Penn St. (Big Ten),37,23-14,227,6.14
352,Colorado St. (Mountain West),33,15-18,197,5.97