Rank,Team,GM,REB,RPG
1,Alabama (SEC),37,"1,652",44.65
2,UAB (CUSA),39,"1,595",40.90
3,Long Beach St. (Big West),33,"1,341",40.64
4,Utah Valley (WAC),37,"1,492",40.32
5,Col. of Charleston (CAA),35,"1,411",40.31
6,St. John's (NY) (Big East),33,"1,324",40.12
7,Eastern Ky. (ASUN),37,"1,481",40.03
8,North Carolina (ACC),33,"1,304",39.52
9,Kentucky (SEC),34,"1,339",39.38
10,UConn (Big East),39,"1,534",39.33
11,Arizona (Pac-12),35,"1,376",39.31
12,Bryant (America East),30,"1,179",39.30
13,Utah (Pac-12),32,"1,254",39.19
14,UT Martin (OVC),33,"1,293",39.18
15,Milwaukee (Horizon),34,"1,330",39.12
16,Princeton (Ivy League),32,"1,248",39.00
17,Marshall (Sun Belt),32,"1,247",38.97
18,Fla. Atlantic (CUSA),39,"1,519",38.95
19,Houston (AAC),37,"1,441",38.95
20,Purdue (Big Ten),35,"1,354",38.69
21,Duke (ACC),36,"1,392",38.67
22,UMass Lowell (America East),34,"1,314",38.65
23,Southern Utah (WAC),37,"1,427",38.57
24,Tennessee (SEC),36,"1,382",38.39
25,Massachusetts (Atlantic 10),31,"1,187",38.29
26,Santa Clara (WCC),33,"1,261",38.21
27,San Jose St. (Mountain West),35,"1,335",38.14
28,James Madison (Sun Belt),33,"1,257",38.09
28,Providence (Big East),33,"1,257",38.09
30,High Point (Big South),31,"1,179",38.03
31,Saint Louis (Atlantic 10),33,"1,254",38.00
32,Old Dominion (Sun Belt),31,"1,175",37.90
33,Mississippi St. (SEC),34,"1,288",37.88
34,UTRGV (WAC),32,"1,211",37.84
35,Illinois (Big Ten),33,"1,248",37.82
36,Yale (Ivy League),30,"1,133",37.77
37,Buffalo (MAC),32,"1,208",37.75
38,Xavier (Big East),37,"1,396",37.73
39,Oregon (Pac-12),36,"1,354",37.61
40,Penn (Ivy League),30,"1,128",37.60
41,Ohio (MAC),33,"1,239",37.55
42,Texas Southern (SWAC),35,"1,313",37.51
43,Quinnipiac (MAAC),32,"1,197",37.41
43,South Fla. (AAC),32,"1,197",37.41
45,BYU (Big 12),34,"1,271",37.38
46,Oklahoma St. (Big 12),36,"1,345",37.36
47,Towson (CAA),33,"1,232",37.33
48,A&M-Corpus Christi (Southland),35,"1,306",37.31
49,Cincinnati (AAC),36,"1,341",37.25
50,Coastal Carolina (Sun Belt),31,"1,153",37.19
51,Gonzaga (WCC),37,"1,376",37.19
52,California Baptist (WAC),33,"1,227",37.18
53,Colorado (Pac-12),35,"1,300",37.14
54,Seattle U (WAC),32,"1,186",37.06
54,UC Davis (Big West),32,"1,186",37.06
56,East Carolina (AAC),33,"1,223",37.06
57,New Mexico (Mountain West),34,"1,260",37.06
58,Rhode Island (Atlantic 10),31,"1,148",37.03
59,SIUE (OVC),33,"1,222",37.03
60,UC Irvine (Big West),35,"1,296",37.03
61,Creighton (Big East),37,"1,369",37.00
62,Kansas City (Summit League),32,"1,183",36.97
63,Western Mich. (MAC),31,"1,146",36.97
64,Western Caro. (SoCon),34,"1,256",36.94
65,Fordham (Atlantic 10),33,"1,219",36.94
66,UNC Greensboro (SoCon),32,"1,180",36.88
67,Oral Roberts (Summit League),35,"1,288",36.80
67,Texas A&M (SEC),35,"1,288",36.80
69,Rutgers (Big Ten),34,"1,251",36.79
69,UC Riverside (Big West),34,"1,251",36.79
71,Sam Houston (WAC),34,"1,250",36.76
72,Detroit Mercy (Horizon),33,"1,212",36.73
72,Wright St. (Horizon),33,"1,212",36.73
74,Michigan (Big Ten),34,"1,248",36.71
75,NC State (ACC),34,"1,244",36.59
76,Grand Canyon (WAC),36,"1,317",36.58
77,Iowa (Big Ten),33,"1,207",36.58
78,Arizona St. (Pac-12),36,"1,315",36.53
79,Louisiana (Sun Belt),34,"1,241",36.50
80,Southern Miss. (Sun Belt),33,"1,203",36.45
81,Central Ark. (ASUN),31,"1,128",36.39
82,Tennessee St. (OVC),32,"1,164",36.38
83,Wichita St. (AAC),32,"1,163",36.34
84,San Diego St. (Mountain West),39,"1,416",36.31
85,Lipscomb (ASUN),33,"1,198",36.30
86,Harvard (Ivy League),28,"1,015",36.25
87,Grambling (SWAC),33,"1,196",36.24
88,Chattanooga (SoCon),35,"1,268",36.23
89,Vanderbilt (SEC),37,"1,340",36.22
90,Auburn (SEC),34,"1,231",36.21
91,Rider (MAAC),30,"1,085",36.17
92,Dayton (Atlantic 10),34,"1,229",36.15
93,Pittsburgh (ACC),36,"1,301",36.14
94,LMU (CA) (WCC),31,"1,119",36.10
94,Lamar University (Southland),31,"1,119",36.10
96,North Dakota St. (Summit League),33,"1,191",36.09
97,Northeastern (CAA),30,"1,081",36.03
98,Alabama St. (SWAC),31,"1,117",36.03
98,Jacksonville St. (ASUN),31,"1,117",36.03
100,Georgetown (Big East),32,"1,151",35.97
101,Kansas (Big 12),36,"1,294",35.94
102,Eastern Wash. (Big Sky),34,"1,222",35.94
103,Ohio St. (Big Ten),35,"1,257",35.91
104,Norfolk St. (MEAC),33,"1,185",35.91
105,Wagner (NEC),28,"1,005",35.89
106,Memphis (AAC),35,"1,256",35.89
107,UT Arlington (WAC),32,"1,148",35.88
108,Ball St. (MAC),32,"1,147",35.84
109,TCU (Big 12),35,"1,254",35.83
110,La Salle (Atlantic 10),34,"1,217",35.79
111,Georgia (SEC),32,"1,145",35.78
112,Bowling Green (MAC),31,"1,109",35.77
112,Pepperdine (WCC),31,"1,109",35.77
114,Howard (MEAC),35,"1,252",35.77
115,N.C. Central (MEAC),30,"1,073",35.77
116,George Mason (Atlantic 10),33,"1,180",35.76
116,Ole Miss (SEC),33,"1,180",35.76
116,Sacred Heart (NEC),33,"1,180",35.76
119,Boise St. (Mountain West),34,"1,215",35.74
120,Drake (MVC),35,"1,250",35.71
120,Indiana (Big Ten),35,"1,250",35.71
122,Little Rock (OVC),31,"1,107",35.71
123,New Hampshire (America East),30,"1,071",35.70
124,Akron (MAC),33,"1,178",35.70
125,App State (Sun Belt),32,"1,142",35.69
126,Kent St. (MAC),35,"1,249",35.69
127,Michigan St. (Big Ten),34,"1,213",35.68
128,Duquesne (Atlantic 10),33,"1,177",35.67
129,Sacramento St. (Big Sky),32,"1,141",35.66
130,Morehead St. (OVC),34,"1,212",35.65
131,Purdue Fort Wayne (Horizon),32,"1,139",35.59
132,Iona (MAAC),35,"1,245",35.57
133,Samford (SoCon),32,"1,137",35.53
134,Utah St. (Mountain West),35,"1,243",35.51
135,Boston U. (Patriot),32,"1,136",35.50
135,N.C. A&T (CAA),32,"1,136",35.50
135,New Mexico St. (WAC),24,852,35.50
138,Cleveland St. (Horizon),35,"1,242",35.49
139,Bradley (MVC),35,"1,240",35.43
140,Youngstown St. (Horizon),34,"1,204",35.41
141,Gardner-Webb (Big South),31,"1,097",35.39
141,South Carolina St. (MEAC),31,"1,097",35.39
143,UTSA (CUSA),32,"1,132",35.38
144,Central Mich. (MAC),31,"1,096",35.35
145,VMI (SoCon),32,"1,131",35.34
146,Arkansas (SEC),36,"1,272",35.33
147,UCLA (Pac-12),37,"1,307",35.32
148,Saint Mary's (CA) (WCC),35,"1,236",35.31
149,Ga. Southern (Sun Belt),33,"1,165",35.30
149,Hawaii (Big West),33,"1,165",35.30
151,Southern California (Pac-12),33,"1,164",35.27
152,Kennesaw St. (ASUN),35,"1,234",35.26
153,McNeese (Southland),34,"1,198",35.24
154,Charleston So. (Big South),31,"1,091",35.19
155,Denver (Summit League),32,"1,126",35.19
155,Temple (AAC),32,"1,126",35.19
157,Clemson (ACC),34,"1,196",35.18
158,Chicago St. (DI Independent),31,"1,090",35.16
159,Texas Tech (Big 12),32,"1,125",35.16
160,Missouri St. (MVC),32,"1,124",35.13
160,ULM (Sun Belt),32,"1,124",35.13
162,Tennessee Tech (OVC),33,"1,159",35.12
163,Prairie View (SWAC),32,"1,123",35.09
164,ETSU (SoCon),32,"1,122",35.06
164,UTEP (CUSA),32,"1,122",35.06
166,Seton Hall (Big East),33,"1,157",35.06
167,Furman (SoCon),36,"1,262",35.06
167,Southeast Mo. St. (OVC),36,"1,262",35.06
169,Binghamton (America East),31,"1,086",35.03
170,LSU (SEC),33,"1,156",35.03
171,Drexel (CAA),32,"1,120",35.00
171,Georgia Tech (ACC),33,"1,155",35.00
171,Stetson (ASUN),31,"1,085",35.00
171,UCF (AAC),34,"1,190",35.00
175,Saint Peter's (MAAC),32,"1,119",34.97
176,George Washington (Atlantic 10),32,"1,118",34.94
176,SMU (AAC),32,"1,118",34.94
178,Western Ky. (CUSA),33,"1,152",34.91
179,Delaware St. (MEAC),30,"1,047",34.90
180,Brown (Ivy League),27,942,34.89
181,Troy (Sun Belt),33,"1,151",34.88
182,Dartmouth (Ivy League),28,976,34.86
182,Rice (CUSA),35,"1,220",34.86
184,UNC Asheville (Big South),35,"1,219",34.83
185,Washington St. (Pac-12),34,"1,183",34.79
186,Syracuse (ACC),32,"1,113",34.78
187,Miami (FL) (ACC),37,"1,285",34.73
188,Longwood (Big South),32,"1,111",34.72
188,Murray St. (MVC),32,"1,111",34.72
190,Louisiana Tech (CUSA),33,"1,145",34.70
190,North Ala. (ASUN),33,"1,145",34.70
190,Robert Morris (Horizon),33,"1,145",34.70
193,Nicholls (Southland),31,"1,075",34.68
194,Mercer (SoCon),33,"1,144",34.67
195,LIU (NEC),29,"1,005",34.66
196,Morgan St. (MEAC),31,"1,074",34.65
197,Kansas St. (Big 12),36,"1,247",34.64
198,Florida (SEC),33,"1,143",34.64
199,Saint Joseph's (Atlantic 10),33,"1,142",34.61
200,FGCU (ASUN),32,"1,107",34.59
200,Southeastern La. (Southland),32,"1,107",34.59
202,Indiana St. (MVC),36,"1,245",34.58
203,Ark.-Pine Bluff (SWAC),31,"1,071",34.55
204,Nebraska (Big Ten),32,"1,105",34.53
205,Northwestern (Big Ten),34,"1,174",34.53
206,Georgia St. (Sun Belt),31,"1,070",34.52
207,San Francisco (WCC),34,"1,173",34.50
208,Western Ill. (Summit League),30,"1,034",34.47
209,Jackson St. (SWAC),33,"1,137",34.45
209,Stanford (Pac-12),33,"1,137",34.45
211,Navy (Patriot),31,"1,068",34.45
212,SFA (WAC),32,"1,102",34.44
213,Cornell (Ivy League),28,964,34.43
214,Columbia (Ivy League),29,998,34.41
215,FDU (NEC),37,"1,271",34.35
216,Hampton (CAA),32,"1,098",34.31
216,Siena (MAAC),32,"1,098",34.31
218,Army West Point (Patriot),33,"1,132",34.30
219,Houston Christian (Southland),32,"1,097",34.28
220,Marist (MAAC),33,"1,131",34.27
221,Wake Forest (ACC),33,"1,129",34.21
222,UMBC (America East),32,"1,093",34.16
223,North Florida (ASUN),31,"1,058",34.13
224,Central Conn. St. (NEC),32,"1,092",34.13
225,Texas (Big 12),38,"1,296",34.11
226,South Carolina (SEC),32,"1,091",34.09
227,NJIT (America East),30,"1,022",34.07
228,Toledo (MAC),35,"1,192",34.06
229,Northern Ariz. (Big Sky),35,"1,189",33.97
230,Baylor (Big 12),34,"1,155",33.97
231,Alcorn (SWAC),32,"1,087",33.97
231,Valparaiso (MVC),32,"1,087",33.97
233,Eastern Ill. (OVC),31,"1,052",33.94
234,North Texas (CUSA),38,"1,289",33.92
235,Stony Brook (CAA),33,"1,119",33.91
236,West Virginia (Big 12),34,"1,152",33.88
237,Bucknell (Patriot),32,"1,084",33.88
238,St. Francis Brooklyn (NEC),30,"1,016",33.87
239,Liberty (ASUN),36,"1,219",33.86
240,Washington (Pac-12),32,"1,083",33.84
241,UNLV (Mountain West),32,"1,081",33.78
242,Northwestern St. (Southland),33,"1,114",33.76
243,Hofstra (CAA),35,"1,181",33.74
244,Elon (CAA),32,"1,079",33.72
245,Fairfield (MAAC),31,"1,045",33.71
246,Colgate (Patriot),35,"1,179",33.69
247,Iowa St. (Big 12),33,"1,111",33.67
248,Mount St. Mary's (MAAC),33,"1,110",33.64
249,Middle Tenn. (CUSA),33,"1,109",33.61
250,Canisius (MAAC),30,"1,008",33.60
251,South Dakota (Summit League),31,"1,041",33.58
252,Arkansas St. (Sun Belt),33,"1,108",33.58
252,Cal St. Fullerton (Big West),33,"1,108",33.58
254,Maryland (Big Ten),35,"1,175",33.57
255,Lehigh (Patriot),30,"1,006",33.53
256,Saint Francis (PA) (NEC),31,"1,037",33.45
256,Tulane (AAC),31,"1,037",33.45
258,Radford (Big South),36,"1,202",33.39
259,Jacksonville (ASUN),29,968,33.38
260,Northern Colo. (Big Sky),32,"1,068",33.38
261,Nevada (Mountain West),33,"1,101",33.36
261,North Dakota (Summit League),33,"1,101",33.36
263,UAlbany (America East),31,"1,033",33.32
264,CSUN (Big West),32,"1,066",33.31
265,Virginia Tech (ACC),34,"1,131",33.26
266,UNCW (CAA),34,"1,130",33.24
267,William & Mary (CAA),33,"1,095",33.18
268,VCU (Atlantic 10),35,"1,161",33.17
269,San Diego (WCC),31,"1,027",33.13
270,NIU (MAC),32,"1,060",33.13
271,Boston College (ACC),33,"1,093",33.12
272,Montana St. (Big Sky),35,"1,154",32.97
273,Monmouth (CAA),33,"1,088",32.97
273,Wofford (SoCon),33,"1,088",32.97
275,Belmont (MVC),32,"1,055",32.97
276,Davidson (Atlantic 10),32,"1,054",32.94
277,Florida A&M (SWAC),29,953,32.86
278,UNI (MVC),32,"1,050",32.81
279,Minnesota (Big Ten),31,"1,017",32.81
280,Portland (WCC),33,"1,082",32.79
281,Oklahoma (Big 12),32,"1,049",32.78
282,Presbyterian (Big South),32,"1,048",32.75
282,St. Bonaventure (Atlantic 10),32,"1,048",32.75
284,Cal Poly (Big West),33,"1,080",32.73
285,Alabama A&M (SWAC),33,"1,079",32.70
286,South Alabama (Sun Belt),35,"1,143",32.66
286,Texas St. (Sun Belt),35,"1,143",32.66
288,Illinois St. (MVC),32,"1,045",32.66
289,Penn St. (Big Ten),37,"1,205",32.57
290,Lafayette (Patriot),34,"1,106",32.53
291,Holy Cross (Patriot),32,"1,040",32.50
291,South Dakota St. (Summit League),32,"1,040",32.50
293,Northern Ky. (Horizon),35,"1,136",32.46
294,DePaul (Big East),33,"1,070",32.42
295,Bethune-Cookman (SWAC),32,"1,037",32.41
295,Omaha (Summit League),32,"1,037",32.41
295,Southern U. (SWAC),32,"1,037",32.41
295,UIC (MVC),32,"1,037",32.41
299,Abilene Christian (WAC),30,972,32.40
300,Delaware (CAA),33,"1,069",32.39
301,Richmond (Atlantic 10),33,"1,067",32.33
302,New Orleans (Southland),32,"1,032",32.25
303,Virginia (ACC),33,"1,064",32.24
304,Louisville (ACC),32,"1,031",32.22
305,Mississippi Val. (SWAC),32,"1,027",32.09
306,Wyoming (Mountain West),31,994,32.06
307,CSU Bakersfield (Big West),33,"1,055",31.97
308,Miami (OH) (MAC),32,"1,022",31.94
309,Tulsa (AAC),30,958,31.93
310,UMES (MEAC),31,988,31.87
311,Marquette (Big East),36,"1,146",31.83
312,UC Santa Barbara (Big West),35,"1,113",31.80
313,Manhattan (MAAC),30,952,31.73
314,The Citadel (SoCon),32,"1,015",31.72
315,Wisconsin (Big Ten),35,"1,110",31.71
316,Villanova (Big East),34,"1,078",31.71
317,USC Upstate (Big South),32,"1,014",31.69
318,Hartford (DI Independent),28,886,31.64
319,Pacific (WCC),33,"1,044",31.64
320,IUPUI (Horizon),32,"1,011",31.59
321,Southern Ill. (MVC),33,"1,040",31.52
322,FIU (CUSA),32,"1,008",31.50
323,UIW (Southland),31,976,31.48
324,California (Pac-12),32,"1,007",31.47
325,Florida St. (ACC),32,"1,006",31.44
326,Eastern Mich. (MAC),31,974,31.42
326,Portland St. (Big Sky),31,974,31.42
328,Idaho St. (Big Sky),32,"1,005",31.41
329,Evansville (MVC),32,"1,004",31.38
330,Loyola Maryland (Patriot),33,"1,035",31.36
331,Austin Peay (ASUN),31,972,31.35
332,Campbell (Big South),34,"1,066",31.35
333,Vermont (America East),34,"1,065",31.32
334,Weber St. (Big Sky),33,"1,032",31.27
335,Oregon St. (Pac-12),32,996,31.13
336,Notre Dame (ACC),32,994,31.06
337,Winthrop (Big South),32,993,31.03
338,Loyola Chicago (Atlantic 10),31,960,30.97
339,Maine (America East),30,924,30.80
340,Colorado St. (Mountain West),33,"1,014",30.73
341,Idaho (Big Sky),32,979,30.59
342,Oakland (Horizon),32,977,30.53
343,Niagara (MAAC),31,944,30.45
344,Coppin St. (MEAC),32,974,30.44
345,Montana (Big Sky),31,942,30.39
346,American (Patriot),32,970,30.31
347,Fresno St. (Mountain West),31,938,30.26
348,Missouri (SEC),35,"1,058",30.23
349,Butler (Big East),32,958,29.94
350,Charlotte (CUSA),36,"1,066",29.61
351,Air Force (Mountain West),32,946,29.56
352,Green Bay (Horizon),32,905,28.28