Rank,Team,GM,W-L,FGM,FGA,FG%
1,Wright St. (Horizon),32,18-14,"1,033","1,948",53
2,Gonzaga (WCC),35,27-8,"1,120","2,162",51.8
3,Indiana St. (MVC),39,32-7,"1,141","2,258",50.5
4,Eastern Wash. (Big Sky),32,21-11,894,"1,783",50.1
5,UConn (Big East),40,37-3,"1,177","2,367",49.7
6,Kentucky (SEC),33,23-10,"1,055","2,132",49.5
7,Colorado (Pac-12),37,26-11,"1,049","2,121",49.5
8,Lipscomb (ASUN),32,20-12,960,"1,946",49.3
9,Utah St. (Mountain West),35,28-7,999,"2,036",49.1
10,UC Santa Barbara (Big West),31,16-15,826,"1,684",49
11,Samford (SoCon),35,29-6,"1,054","2,152",49
12,Purdue (Big Ten),39,34-5,"1,109","2,272",48.8
13,Kansas (Big 12),34,23-11,960,"1,967",48.8
14,Cornell (Ivy League),30,22-8,895,"1,836",48.7
15,McNeese (Southland),34,30-4,973,"1,997",48.7
16,San Francisco (WCC),34,23-11,995,"2,044",48.7
17,Montana (Big Sky),36,24-12,"1,007","2,075",48.5
18,Northern Colo. (Big Sky),33,19-14,969,"1,997",48.5
19,Arizona (Pac-12),36,27-9,"1,124","2,321",48.4
20,Colorado St. (Mountain West),36,25-11,980,"2,024",48.4
21,Creighton (Big East),35,25-10,"1,016","2,101",48.4
22,Baylor (Big 12),35,24-11,967,"2,001",48.3
23,South Dakota St. (Summit League),35,22-13,977,"2,029",48.2
24,Fla. Atlantic (AAC),34,25-9,992,"2,074",47.8
25,Marquette (Big East),37,27-10,"1,078","2,256",47.8
26,Toledo (MAC),32,20-12,920,"1,926",47.8
27,Drake (MVC),35,28-7,992,"2,079",47.7
28,Alabama (SEC),37,25-12,"1,136","2,385",47.6
29,Auburn (SEC),35,27-8,"1,010","2,121",47.6
30,Tulane (AAC),31,14-17,856,"1,798",47.6
31,James Madison (Sun Belt),36,32-4,"1,073","2,254",47.6
32,North Dakota St. (Summit League),32,15-17,873,"1,834",47.6
33,Iowa (Big Ten),34,19-15,"1,025","2,154",47.6
34,Indiana (Big Ten),33,19-14,879,"1,848",47.6
35,Belmont (MVC),33,20-13,922,"1,939",47.6
36,Duke (ACC),36,27-9,"1,004","2,112",47.5
37,UC Irvine (Big West),34,24-10,967,"2,035",47.5
38,App State (Sun Belt),34,27-7,997,"2,100",47.5
39,UMass Lowell (America East),32,22-10,913,"1,924",47.5
40,Dayton (Atlantic 10),33,25-8,831,"1,752",47.4
41,Wake Forest (ACC),35,21-14,968,"2,042",47.4
42,Nevada (Mountain West),34,26-8,881,"1,860",47.4
43,Mount St. Mary's (MAAC),32,13-19,876,"1,852",47.3
44,Little Rock (OVC),34,21-13,957,"2,024",47.3
45,Presbyterian (Big South),33,14-19,897,"1,901",47.2
46,Bradley (MVC),35,23-12,943,"1,999",47.2
47,Minnesota (Big Ten),34,19-15,910,"1,930",47.2
48,Hofstra (CAA),33,20-13,904,"1,918",47.1
49,Washington (Pac-12),32,17-15,931,"1,980",47
50,Niagara (MAAC),32,16-16,822,"1,749",47
51,Colgate (Patriot),35,25-10,929,"1,979",46.9
52,Weber St. (Big Sky),32,20-12,843,"1,797",46.9
53,Columbia (Ivy League),27,13-14,749,"1,597",46.9
54,Texas (Big 12),34,21-13,932,"1,988",46.9
55,Utah (Pac-12),37,22-15,"1,082","2,309",46.9
56,Illinois (Big Ten),38,29-9,"1,104","2,356",46.9
57,Clemson (ACC),36,24-12,991,"2,115",46.9
58,Montana St. (Big Sky),35,17-18,941,"2,012",46.8
59,Stanford (Pac-12),32,14-18,882,"1,886",46.8
60,Purdue Fort Wayne (Horizon),36,23-13,"1,043","2,231",46.8
61,Morehead St. (OVC),35,26-9,944,"2,021",46.7
62,Liberty (CUSA),32,18-14,863,"1,848",46.7
63,Yale (Ivy League),33,23-10,919,"1,969",46.7
64,Saint Mary's (CA) (WCC),34,26-8,936,"2,007",46.6
65,UMBC (America East),32,11-21,955,"2,049",46.6
66,Western Ky. (CUSA),34,22-12,996,"2,138",46.6
67,Chattanooga (SoCon),33,21-12,892,"1,915",46.6
68,Virginia Tech (ACC),34,19-15,886,"1,905",46.5
69,Delaware (CAA),33,19-14,891,"1,917",46.5
70,Oklahoma (Big 12),32,20-12,835,"1,797",46.5
71,UNC Asheville (Big South),34,22-12,906,"1,950",46.5
72,Winthrop (Big South),32,17-15,818,"1,763",46.4
73,Washington St. (Pac-12),35,25-10,948,"2,046",46.3
74,Campbell (CAA),32,14-18,806,"1,740",46.3
75,Iowa St. (Big 12),37,29-8,"1,002","2,164",46.3
76,Stetson (ASUN),35,22-13,950,"2,053",46.3
77,Richmond (Atlantic 10),33,23-10,874,"1,889",46.3
78,UNLV (Mountain West),34,21-13,906,"1,959",46.2
79,High Point (Big South),36,27-9,999,"2,163",46.2
80,TCU (Big 12),34,21-13,964,"2,089",46.1
81,UNCW (CAA),31,21-10,863,"1,871",46.1
82,Michigan St. (Big Ten),35,20-15,949,"2,058",46.1
83,Syracuse (ACC),32,20-12,883,"1,915",46.1
84,Binghamton (America East),30,15-15,801,"1,738",46.1
85,UNC Greensboro (SoCon),32,21-11,865,"1,878",46.1
86,Wisconsin (Big Ten),36,22-14,952,"2,067",46.1
87,BYU (Big 12),34,23-11,992,"2,155",46
88,Grand Canyon (WAC),35,30-5,924,"2,008",46
89,Eastern Ky. (ASUN),31,17-14,917,"1,993",46
90,Idaho St. (Big Sky),34,14-20,875,"1,902",46
91,George Mason (Atlantic 10),32,20-12,791,"1,720",46
92,Santa Clara (WCC),33,20-13,912,"1,984",46
93,The Citadel (SoCon),32,11-21,819,"1,782",46
94,Memphis (AAC),32,22-10,897,"1,952",46
95,Western Caro. (SoCon),32,22-10,902,"1,963",46
96,Norfolk St. (MEAC),35,24-11,908,"1,978",45.9
97,Rhode Island (Atlantic 10),32,12-20,826,"1,800",45.9
98,Wofford (SoCon),32,17-15,874,"1,905",45.9
99,Princeton (Ivy League),29,24-5,777,"1,695",45.8
100,Florida (SEC),36,24-12,"1,077","2,351",45.8
101,Hawaii (Big West),34,20-14,843,"1,841",45.8
102,Oregon (Pac-12),36,24-12,982,"2,145",45.8
103,Bryant (America East),33,20-13,954,"2,087",45.7
104,Radford (Big South),33,16-17,871,"1,907",45.7
105,Louisiana Tech (CUSA),32,22-10,823,"1,802",45.7
106,South Dakota (Summit League),32,12-20,875,"1,916",45.7
107,Drexel (CAA),32,20-12,861,"1,886",45.7
108,UNI (MVC),33,19-14,843,"1,849",45.6
109,Northern Ky. (Horizon),33,18-15,882,"1,935",45.6
110,Boston College (ACC),36,20-16,982,"2,155",45.6
111,St. Bonaventure (Atlantic 10),33,20-13,853,"1,872",45.6
112,New Mexico (Mountain West),36,26-10,"1,067","2,343",45.5
113,Sacred Heart (NEC),32,16-16,864,"1,898",45.5
114,CSUN (Big West),34,19-15,940,"2,065",45.5
115,LSU (SEC),33,17-16,868,"1,907",45.5
116,FGCU (ASUN),32,14-18,827,"1,817",45.5
117,Northwestern (Big Ten),34,22-12,892,"1,960",45.5
118,Northeastern (CAA),32,12-20,810,"1,780",45.5
119,Vermont (America East),35,28-7,900,"1,980",45.5
120,N.C. Central (MEAC),31,18-13,823,"1,812",45.4
121,Louisiana (Sun Belt),33,19-14,919,"2,025",45.4
122,Penn (Ivy League),29,11-18,781,"1,721",45.4
123,Miami (FL) (ACC),32,15-17,889,"1,960",45.4
124,St. John's (NY) (Big East),33,20-13,970,"2,139",45.3
125,Longwood (Big South),35,21-14,931,"2,053",45.3
126,Ohio (MAC),33,20-13,901,"1,987",45.3
127,Akron (MAC),35,24-11,915,"2,018",45.3
128,Air Force (Mountain West),31,9-22,727,"1,604",45.3
129,Southern Ill. (MVC),32,19-13,791,"1,746",45.3
130,Butler (Big East),33,18-15,922,"2,036",45.3
131,Florida St. (ACC),33,17-16,903,"1,995",45.3
132,Fresno St. (Mountain West),33,12-21,812,"1,794",45.3
133,Arkansas (SEC),33,16-17,859,"1,898",45.3
134,Mississippi St. (SEC),35,21-14,917,"2,027",45.2
135,Nebraska (Big Ten),34,23-11,912,"2,017",45.2
136,Charlotte (AAC),31,19-12,748,"1,655",45.2
137,Seton Hall (Big East),37,25-12,987,"2,184",45.2
138,Jacksonville St. (CUSA),32,14-18,803,"1,778",45.2
139,Texas Tech (Big 12),34,23-11,877,"1,943",45.1
140,Southern California (Pac-12),33,15-18,872,"1,932",45.1
141,Omaha (Summit League),33,15-18,845,"1,873",45.1
141,Saint Louis (Atlantic 10),33,13-20,845,"1,873",45.1
143,Pepperdine (WCC),33,13-20,868,"1,924",45.1
144,Morgan St. (MEAC),31,11-20,840,"1,862",45.1
145,Youngstown St. (Horizon),32,22-10,931,"2,064",45.1
146,Wyoming (Mountain West),32,15-17,791,"1,755",45.1
147,Massachusetts (Atlantic 10),31,20-11,858,"1,904",45.1
148,Central Conn. St. (NEC),31,20-11,810,"1,798",45.1
149,Lamar University (Southland),33,19-14,912,"2,025",45
150,North Carolina (ACC),37,29-8,"1,046","2,323",45
151,Ohio St. (Big Ten),36,22-14,957,"2,126",45
152,Loyola Chicago (Atlantic 10),33,23-10,855,"1,900",45
153,NC State (ACC),41,26-15,"1,117","2,483",45
154,Denver (Summit League),34,17-17,946,"2,103",45
155,American (Patriot),32,16-16,782,"1,740",44.9
156,UAB (AAC),35,23-12,937,"2,085",44.9
157,Howard (MEAC),35,18-17,868,"1,932",44.9
158,SFA (WAC),33,18-15,849,"1,890",44.9
159,Quinnipiac (MAAC),34,24-10,938,"2,089",44.9
160,Mercer (SoCon),33,16-17,880,"1,961",44.9
161,Boise St. (Mountain West),33,22-11,858,"1,913",44.9
162,San Jose St. (Mountain West),32,9-23,832,"1,856",44.8
163,Tennessee Tech (OVC),31,10-21,758,"1,692",44.8
164,Evansville (MVC),35,17-18,915,"2,043",44.8
165,LMU (CA) (WCC),31,12-19,802,"1,791",44.8
166,Green Bay (Horizon),32,18-14,780,"1,742",44.8
167,Cleveland St. (Horizon),36,21-15,"1,005","2,246",44.7
168,Ole Miss (SEC),32,20-12,839,"1,876",44.7
169,Wichita St. (AAC),34,15-19,935,"2,091",44.7
170,SMU (AAC),33,20-13,934,"2,089",44.7
171,Austin Peay (ASUN),35,19-16,941,"2,105",44.7
172,UTEP (CUSA),34,18-16,859,"1,922",44.7
173,Ark.-Pine Bluff (SWAC),31,13-18,813,"1,821",44.6
174,Fairfield (MAAC),37,24-13,991,"2,221",44.6
175,Kennesaw St. (ASUN),31,15-16,908,"2,035",44.6
176,Seattle U (WAC),37,23-14,956,"2,143",44.6
177,Oakland (Horizon),36,24-12,966,"2,166",44.6
178,Murray St. (MVC),32,12-20,821,"1,841",44.6
179,Elon (CAA),32,13-19,824,"1,848",44.6
180,Milwaukee (Horizon),35,20-15,980,"2,198",44.6
181,UAlbany (America East),32,13-19,918,"2,059",44.6
182,Ball St. (MAC),31,15-16,769,"1,726",44.6
183,Saint Joseph's (Atlantic 10),35,21-14,928,"2,084",44.5
184,USC Upstate (Big South),30,10-20,780,"1,753",44.5
185,Nicholls (Southland),34,20-14,849,"1,909",44.5
186,UT Arlington (WAC),34,20-14,880,"1,981",44.4
187,Texas St. (Sun Belt),35,17-18,883,"1,988",44.4
188,Coastal Carolina (Sun Belt),31,9-22,835,"1,880",44.4
189,UT Martin (OVC),32,21-11,908,"2,045",44.4
190,NIU (MAC),31,11-20,800,"1,802",44.4
191,North Ala. (ASUN),32,15-17,857,"1,931",44.4
192,North Dakota (Summit League),32,18-14,858,"1,934",44.4
193,Michigan (Big Ten),32,8-24,829,"1,869",44.4
194,Furman (SoCon),33,17-16,911,"2,054",44.4
195,Long Beach St. (Big West),36,21-15,993,"2,239",44.4
196,Marist (MAAC),31,18-13,726,"1,638",44.3
197,Rice (AAC),32,11-21,833,"1,880",44.3
198,Providence (Big East),35,21-14,891,"2,011",44.3
199,North Florida (ASUN),32,16-16,849,"1,917",44.3
200,Cincinnati (Big 12),37,22-15,"1,023","2,310",44.3
201,Miami (OH) (MAC),32,15-17,798,"1,802",44.3
202,South Alabama (Sun Belt),32,16-16,835,"1,886",44.3
203,Oregon St. (Pac-12),32,13-19,772,"1,745",44.2
204,George Washington (Atlantic 10),32,15-17,841,"1,901",44.2
205,Tennessee St. (OVC),33,18-15,832,"1,881",44.2
206,UC Davis (Big West),33,20-13,799,"1,808",44.2
207,Alcorn (SWAC),32,14-18,818,"1,851",44.2
208,Col. of Charleston (CAA),35,27-8,"1,006","2,278",44.2
209,Idaho (Big Sky),32,11-21,785,"1,778",44.2
210,Kent St. (MAC),34,17-17,890,"2,016",44.1
211,Arkansas St. (Sun Belt),37,20-17,"1,021","2,313",44.1
212,Southern U. (SWAC),32,18-14,807,"1,829",44.1
213,Oklahoma St. (Big 12),32,12-20,793,"1,799",44.1
214,Southern Utah (WAC),31,10-21,820,"1,861",44.1
215,South Fla. (AAC),33,25-8,837,"1,900",44.1
216,Troy (Sun Belt),32,20-12,859,"1,950",44.1
217,Tennessee (SEC),36,27-9,979,"2,223",44
218,Canisius (MAAC),32,14-18,841,"1,910",44
219,San Diego St. (Mountain West),37,26-11,954,"2,167",44
220,VCU (Atlantic 10),38,24-14,906,"2,059",44
221,Grambling (SWAC),36,21-15,860,"1,955",44
222,Oral Roberts (Summit League),31,12-19,812,"1,846",44
223,Lehigh (Patriot),32,14-18,829,"1,887",43.9
224,Houston (Big 12),37,32-5,981,"2,233",43.9
225,Missouri St. (MVC),33,17-16,848,"1,931",43.9
226,South Carolina (SEC),34,26-8,865,"1,970",43.9
227,Missouri (SEC),32,8-24,807,"1,838",43.9
228,Holy Cross (Patriot),33,10-23,815,"1,857",43.9
229,Tulsa (AAC),31,16-15,779,"1,775",43.9
230,Harvard (Ivy League),27,14-13,665,"1,516",43.9
231,Stony Brook (CAA),35,20-15,921,"2,101",43.8
232,IU Indy (Horizon),32,6-26,775,"1,768",43.8
233,Merrimack (NEC),33,21-12,795,"1,814",43.8
234,Northern Ariz. (Big Sky),33,14-19,825,"1,883",43.8
235,UIC (MVC),33,12-21,844,"1,927",43.8
236,Penn St. (Big Ten),33,16-17,854,"1,951",43.8
237,Maine (America East),32,15-17,801,"1,831",43.7
238,FIU (CUSA),33,11-22,882,"2,019",43.7
239,Portland (WCC),33,12-21,826,"1,891",43.7
240,Pittsburgh (ACC),33,22-11,873,"1,999",43.7
241,Duquesne (Atlantic 10),37,25-12,921,"2,110",43.6
242,Xavier (Big East),34,16-18,923,"2,116",43.6
243,Kansas St. (Big 12),34,19-15,837,"1,919",43.6
244,Louisville (ACC),32,8-24,799,"1,833",43.6
245,Jacksonville (ASUN),33,16-17,835,"1,918",43.5
246,Gardner-Webb (Big South),33,17-16,867,"1,992",43.5
247,Rider (MAAC),32,15-17,836,"1,921",43.5
248,Georgia St. (Sun Belt),31,14-17,856,"1,967",43.5
249,A&M-Corpus Christi (Southland),33,21-12,889,"2,046",43.5
250,Delaware St. (MEAC),34,15-19,851,"1,961",43.4
251,CSU Bakersfield (Big West),32,13-19,807,"1,861",43.4
252,Houston Christian (Southland),29,6-23,759,"1,751",43.3
253,Abilene Christian (WAC),34,16-18,861,"1,987",43.3
254,North Texas (AAC),34,19-15,826,"1,907",43.3
255,Western Mich. (MAC),32,12-20,828,"1,912",43.3
256,Florida A&M (SWAC),29,6-23,727,"1,679",43.3
257,Utah Valley (WAC),32,16-16,801,"1,851",43.3
258,Robert Morris (Horizon),32,10-22,833,"1,927",43.2
259,Iona (MAAC),33,16-17,857,"1,984",43.2
260,Southeastern La. (Southland),32,15-17,764,"1,769",43.2
261,Northwestern St. (Southland),32,9-23,808,"1,872",43.2
262,Bowling Green (MAC),34,20-14,882,"2,045",43.1
263,Bethune-Cookman (SWAC),34,17-17,860,"1,994",43.1
264,Davidson (Atlantic 10),32,15-17,783,"1,816",43.1
265,Cal St. Fullerton (Big West),32,14-18,740,"1,717",43.1
266,Monmouth (CAA),33,18-15,860,"1,998",43
267,Sacramento St. (Big Sky),34,10-24,798,"1,855",43
268,Brown (Ivy League),31,13-18,782,"1,818",43
269,West Virginia (Big 12),32,9-23,767,"1,784",43
270,Ga. Southern (Sun Belt),33,9-24,847,"1,971",43
271,La Salle (Atlantic 10),33,16-17,877,"2,041",43
272,Georgia (SEC),37,20-17,943,"2,195",43
273,San Diego (WCC),33,18-15,849,"1,978",42.9
274,Eastern Mich. (MAC),31,13-18,783,"1,825",42.9
275,Bucknell (Patriot),33,14-19,758,"1,770",42.8
276,Virginia (ACC),34,23-11,808,"1,887",42.8
277,UIW (Southland),31,8-23,768,"1,795",42.8
278,Kansas City (Summit League),32,16-16,813,"1,903",42.7
279,Western Ill. (OVC),33,21-12,826,"1,936",42.7
280,Sam Houston (CUSA),33,21-12,828,"1,948",42.5
281,Villanova (Big East),34,18-16,826,"1,945",42.5
282,Chicago St. (DI Independent),32,13-19,771,"1,816",42.5
283,Southern Miss. (Sun Belt),32,16-16,775,"1,826",42.4
284,Hampton (CAA),33,9-24,853,"2,011",42.4
285,Illinois St. (MVC),32,15-17,743,"1,752",42.4
286,Saint Francis (PA) (NEC),30,8-22,713,"1,682",42.4
287,SIUE (OVC),33,17-16,832,"1,965",42.3
288,New Mexico St. (CUSA),32,13-19,771,"1,822",42.3
289,DePaul (Big East),32,3-29,725,"1,714",42.3
290,Towson (CAA),34,20-14,818,"1,934",42.3
291,VMI (SoCon),32,4-28,818,"1,935",42.3
292,East Carolina (AAC),33,15-18,803,"1,903",42.2
293,Detroit Mercy (Horizon),32,1-31,761,"1,806",42.1
294,Eastern Ill. (OVC),32,14-18,822,"1,951",42.1
295,Georgia Tech (ACC),32,14-18,810,"1,924",42.1
296,Buffalo (MAC),31,4-27,770,"1,830",42.1
297,California (Pac-12),32,13-19,833,"1,980",42.1
298,Prairie View (SWAC),31,10-21,770,"1,831",42.1
299,Old Dominion (Sun Belt),32,7-25,841,"2,001",42
300,Alabama A&M (SWAC),35,12-23,806,"1,918",42
301,Central Mich. (MAC),32,18-14,790,"1,880",42
302,UCF (Big 12),33,17-16,817,"1,945",42
303,ULM (Sun Belt),30,11-19,751,"1,788",42
304,FDU (NEC),32,15-17,843,"2,012",41.9
305,UCLA (Pac-12),33,16-17,762,"1,820",41.9
306,UTRGV (WAC),31,6-25,754,"1,801",41.9
307,New Orleans (Southland),33,10-23,846,"2,023",41.8
308,LIU (NEC),29,7-22,706,"1,691",41.8
309,Loyola Maryland (Patriot),32,7-25,737,"1,767",41.7
310,Arizona St. (Pac-12),32,14-18,791,"1,901",41.6
311,Central Ark. (ASUN),32,9-23,817,"1,965",41.6
312,Jackson St. (SWAC),32,15-17,799,"1,923",41.5
313,Georgetown (Big East),32,9-23,775,"1,867",41.5
314,Portland St. (Big Sky),32,17-15,809,"1,949",41.5
315,Texas Southern (SWAC),33,16-17,821,"1,980",41.5
316,New Hampshire (America East),31,16-15,801,"1,934",41.4
317,Charleston So. (Big South),30,10-20,715,"1,727",41.4
318,Boston U. (Patriot),33,16-17,768,"1,856",41.4
319,Southeast Mo. St. (OVC),31,9-22,764,"1,848",41.3
320,Maryland (Big Ten),33,16-17,766,"1,854",41.3
321,Manhattan (MAAC),30,7-23,740,"1,792",41.3
322,William & Mary (CAA),33,10-23,787,"1,910",41.2
323,Pacific (WCC),32,6-26,725,"1,762",41.1
324,Dartmouth (Ivy League),27,6-21,594,"1,447",41.1
325,California Baptist (WAC),33,16-17,762,"1,857",41
326,UTSA (AAC),32,11-21,837,"2,040",41
327,South Carolina St. (MEAC),32,14-18,784,"1,914",41
328,Marshall (Sun Belt),33,13-20,864,"2,117",40.8
329,Lafayette (Patriot),32,11-21,744,"1,823",40.8
330,Notre Dame (ACC),33,13-20,742,"1,824",40.7
331,ETSU (SoCon),35,19-16,866,"2,131",40.6
332,Valparaiso (MVC),32,7-25,796,"1,961",40.6
333,Army West Point (Patriot),32,10-22,707,"1,747",40.5
334,Cal Poly (Big West),32,4-28,719,"1,778",40.4
335,Middle Tenn. (CUSA),33,14-19,741,"1,843",40.2
336,Texas A&M (SEC),36,21-15,926,"2,304",40.2
337,UMES (MEAC),29,9-20,668,"1,664",40.1
338,Fordham (Atlantic 10),33,13-20,798,"1,993",40
339,Siena (MAAC),32,4-28,702,"1,758",39.9
340,Vanderbilt (SEC),32,9-23,748,"1,877",39.9
341,UC Riverside (Big West),34,16-18,842,"2,122",39.7
342,Wagner (NEC),33,17-16,758,"1,913",39.6
343,Navy (Patriot),31,13-18,716,"1,809",39.6
344,Temple (AAC),36,16-20,876,"2,214",39.6
345,NJIT (America East),28,7-21,663,"1,681",39.4
346,Saint Peter's (MAAC),33,19-14,720,"1,830",39.3
347,Rutgers (Big Ten),32,15-17,750,"1,927",38.9
348,N.C. A&T (CAA),32,7-25,726,"1,873",38.8
349,Mississippi Val. (SWAC),31,1-30,613,"1,611",38.1
350,Coppin St. (MEAC),29,2-27,585,"1,571",37.2
351,Alabama St. (SWAC),32,13-19,772,"2,087",37