Rank,Team,GM,W-L,FT,FTA,FT%
1,Villanova (Big East),34,18-16,421,521,80.8
2,Princeton (Ivy League),29,24-5,377,468,80.6
3,Indiana St. (MVC),39,32-7,600,754,79.6
4,Wake Forest (ACC),35,21-14,519,653,79.5
5,Virginia Tech (ACC),34,19-15,499,629,79.3
6,Missouri (SEC),32,8-24,462,583,79.2
7,Montana (Big Sky),36,24-12,477,602,79.2
8,Butler (Big East),33,18-15,424,536,79.1
9,Creighton (Big East),35,25-10,408,518,78.8
10,Colorado (Pac-12),37,26-11,583,744,78.4
11,Seton Hall (Big East),37,25-12,527,674,78.2
12,VCU (Atlantic 10),38,24-14,563,721,78.1
13,Texas Tech (Big 12),34,23-11,518,664,78
14,Clemson (ACC),36,24-12,507,650,78
15,High Point (Big South),36,27-9,722,928,77.8
16,Quinnipiac (MAAC),34,24-10,500,645,77.5
17,St. Bonaventure (Atlantic 10),33,20-13,467,603,77.4
18,Iowa (Big Ten),34,19-15,551,712,77.4
19,Alabama (SEC),37,25-12,650,842,77.2
20,Kentucky (SEC),33,23-10,501,649,77.2
21,Eastern Wash. (Big Sky),32,21-11,525,681,77.1
22,Youngstown St. (Horizon),32,22-10,454,589,77.1
23,UT Martin (OVC),32,21-11,514,667,77.1
24,North Ala. (ASUN),32,15-17,487,634,76.8
25,Lipscomb (ASUN),32,20-12,409,533,76.7
26,Ohio St. (Big Ten),36,22-14,550,717,76.7
27,Ball St. (MAC),31,15-16,510,665,76.7
28,Stetson (ASUN),35,22-13,474,619,76.6
29,North Florida (ASUN),32,16-16,415,542,76.6
30,Ark.-Pine Bluff (SWAC),31,13-18,520,682,76.2
31,Southern Ill. (MVC),32,19-13,479,629,76.2
32,Nebraska (Big Ten),34,23-11,500,658,76
33,UNCW (CAA),31,21-10,477,628,76
34,North Carolina (ACC),37,29-8,639,842,75.9
35,Fairfield (MAAC),37,24-13,470,620,75.8
36,Morgan St. (MEAC),31,11-20,425,561,75.8
37,Georgia St. (Sun Belt),31,14-17,424,560,75.7
38,Wright St. (Horizon),32,18-14,483,638,75.7
39,Texas (Big 12),34,21-13,454,600,75.7
40,Arkansas (SEC),33,16-17,649,859,75.6
41,Tennessee St. (OVC),33,18-15,519,687,75.5
42,Wisconsin (Big Ten),36,22-14,528,699,75.5
43,Bethune-Cookman (SWAC),34,17-17,560,742,75.5
43,San Francisco (WCC),34,23-11,360,477,75.5
45,Toledo (MAC),32,20-12,513,680,75.4
46,Charlotte (AAC),31,19-12,434,576,75.3
47,Drake (MVC),35,28-7,513,681,75.3
48,Hofstra (CAA),33,20-13,311,413,75.3
49,UC Irvine (Big West),34,24-10,508,675,75.3
50,Colorado St. (Mountain West),36,25-11,483,642,75.2
51,Northwestern (Big Ten),34,22-12,431,573,75.2
52,Niagara (MAAC),32,16-16,476,633,75.2
53,Oakland (Horizon),36,24-12,501,667,75.1
54,Howard (MEAC),35,18-17,606,807,75.1
55,Tennessee (SEC),36,27-9,563,750,75.1
56,Auburn (SEC),35,27-8,609,812,75
57,Saint Louis (Atlantic 10),33,13-20,524,699,75
58,South Alabama (Sun Belt),32,16-16,458,611,75
59,Boston College (ACC),36,20-16,404,539,75
60,Weber St. (Big Sky),32,20-12,477,637,74.9
61,Grand Canyon (WAC),35,30-5,676,903,74.9
62,Little Rock (OVC),34,21-13,497,664,74.8
63,Rider (MAAC),32,15-17,455,608,74.8
64,UC Davis (Big West),33,20-13,523,699,74.8
65,Northeastern (CAA),32,12-20,397,531,74.8
66,Penn St. (Big Ten),33,16-17,515,689,74.7
67,George Washington (Atlantic 10),32,15-17,488,654,74.6
68,Kent St. (MAC),34,17-17,482,646,74.6
69,UAB (AAC),35,23-12,622,834,74.6
70,Louisville (ACC),32,8-24,531,712,74.6
71,Xavier (Big East),34,16-18,501,672,74.6
72,Chattanooga (SoCon),33,21-12,448,601,74.5
73,Miami (FL) (ACC),32,15-17,360,483,74.5
74,New Hampshire (America East),31,16-15,421,565,74.5
75,Notre Dame (ACC),33,13-20,378,508,74.4
76,UConn (Big East),40,37-3,562,756,74.3
77,Oklahoma (Big 12),32,20-12,503,677,74.3
78,South Dakota (Summit League),32,12-20,433,583,74.3
79,George Mason (Atlantic 10),32,20-12,473,637,74.3
80,Omaha (Summit League),33,15-18,545,734,74.3
81,Oral Roberts (Summit League),31,12-19,366,493,74.2
82,BYU (Big 12),34,23-11,406,547,74.2
83,UNC Asheville (Big South),34,22-12,593,799,74.2
84,Wyoming (Mountain West),32,15-17,508,686,74.1
85,Central Ark. (ASUN),32,9-23,419,566,74
86,Dayton (Atlantic 10),33,25-8,476,643,74
87,Stony Brook (CAA),35,20-15,454,614,73.9
88,Radford (Big South),33,16-17,397,537,73.9
89,South Fla. (AAC),33,25-8,530,719,73.7
90,North Texas (AAC),34,19-15,417,566,73.7
91,Oregon St. (Pac-12),32,13-19,464,630,73.7
92,Tulsa (AAC),31,16-15,528,717,73.6
93,Boise St. (Mountain West),33,22-11,505,686,73.6
94,UMass Lowell (America East),32,22-10,549,746,73.6
95,Charleston So. (Big South),30,10-20,390,530,73.6
96,Illinois (Big Ten),38,29-9,643,874,73.6
97,IU Indy (Horizon),32,6-26,448,609,73.6
98,Seattle U (WAC),37,23-14,537,730,73.6
99,UC Santa Barbara (Big West),31,16-15,498,677,73.6
100,UT Arlington (WAC),34,20-14,549,747,73.5
101,Detroit Mercy (Horizon),32,1-31,402,547,73.5
102,Lehigh (Patriot),32,14-18,438,596,73.5
103,DePaul (Big East),32,3-29,421,574,73.3
104,San Diego St. (Mountain West),37,26-11,575,784,73.3
105,Troy (Sun Belt),32,20-12,552,753,73.3
106,Idaho (Big Sky),32,11-21,357,487,73.3
107,NC State (ACC),41,26-15,582,794,73.3
108,Davidson (Atlantic 10),32,15-17,441,602,73.3
109,Baylor (Big 12),35,24-11,579,791,73.2
110,Tulane (AAC),31,14-17,595,813,73.2
111,Richmond (Atlantic 10),33,23-10,382,522,73.2
112,Columbia (Ivy League),27,13-14,349,477,73.2
113,Ga. Southern (Sun Belt),33,9-24,417,570,73.2
114,Eastern Ill. (OVC),32,14-18,381,521,73.1
115,TCU (Big 12),34,21-13,535,732,73.1
116,Lamar University (Southland),33,19-14,496,679,73
117,Denver (Summit League),34,17-17,569,779,73
118,Ohio (MAC),33,20-13,455,623,73
119,LMU (CA) (WCC),31,12-19,379,519,73
120,UCLA (Pac-12),33,16-17,470,644,73
121,UNC Greensboro (SoCon),32,21-11,370,507,73
122,Louisiana (Sun Belt),33,19-14,415,569,72.9
123,Merrimack (NEC),33,21-12,452,620,72.9
124,Northern Colo. (Big Sky),33,19-14,425,583,72.9
125,Southern Utah (WAC),31,10-21,491,674,72.8
126,San Diego (WCC),33,18-15,461,633,72.8
127,Montana St. (Big Sky),35,17-18,434,596,72.8
128,Ole Miss (SEC),32,20-12,479,658,72.8
129,Stanford (Pac-12),32,14-18,393,540,72.8
130,St. John's (NY) (Big East),33,20-13,425,584,72.8
131,Furman (SoCon),33,17-16,481,661,72.8
132,Southeastern La. (Southland),32,15-17,446,613,72.8
133,Akron (MAC),35,24-11,467,642,72.7
134,Bradley (MVC),35,23-12,400,550,72.7
135,UIW (Southland),31,8-23,468,644,72.7
136,Milwaukee (Horizon),35,20-15,545,750,72.7
137,California (Pac-12),32,13-19,420,578,72.7
138,Abilene Christian (WAC),34,16-18,550,757,72.7
139,Coppin St. (MEAC),29,2-27,355,489,72.6
140,Saint Joseph's (Atlantic 10),35,21-14,434,598,72.6
141,UAlbany (America East),32,13-19,431,594,72.6
142,Campbell (CAA),32,14-18,428,590,72.5
143,Nicholls (Southland),34,20-14,530,731,72.5
144,Memphis (AAC),32,22-10,514,709,72.5
145,Mount St. Mary's (MAAC),32,13-19,358,494,72.5
146,SIUE (OVC),33,17-16,457,631,72.4
147,Sam Houston (CUSA),33,21-12,480,663,72.4
148,Texas Southern (SWAC),33,16-17,432,597,72.4
149,UNLV (Mountain West),34,21-13,458,633,72.4
150,LSU (SEC),33,17-16,528,730,72.3
151,Cornell (Ivy League),30,22-8,363,502,72.3
151,La Salle (Atlantic 10),33,16-17,363,502,72.3
153,Alabama St. (SWAC),32,13-19,428,592,72.3
154,Samford (SoCon),35,29-6,553,765,72.3
155,Belmont (MVC),33,20-13,425,588,72.3
156,Duke (ACC),36,27-9,524,725,72.3
157,CSU Bakersfield (Big West),32,13-19,435,602,72.3
158,Green Bay (Horizon),32,18-14,364,504,72.2
158,Manhattan (MAAC),30,7-23,286,396,72.2
160,Drexel (CAA),32,20-12,408,565,72.2
161,Norfolk St. (MEAC),35,24-11,569,788,72.2
162,Col. of Charleston (CAA),35,27-8,452,626,72.2
163,Providence (Big East),35,21-14,462,640,72.2
164,Alabama A&M (SWAC),35,12-23,654,906,72.2
165,Washington (Pac-12),32,17-15,459,636,72.2
166,American (Patriot),32,16-16,355,492,72.2
167,Prairie View (SWAC),31,10-21,487,675,72.1
168,Gonzaga (WCC),35,27-8,476,660,72.1
169,Syracuse (ACC),32,20-12,457,634,72.1
170,Kansas (Big 12),34,23-11,454,630,72.1
171,Utah St. (Mountain West),35,28-7,564,783,72
172,New Orleans (Southland),33,10-23,556,772,72
173,Maryland (Big Ten),33,16-17,545,757,72
174,Georgia (SEC),37,20-17,578,803,72
175,Kansas St. (Big 12),34,19-15,529,735,72
176,Nevada (Mountain West),34,26-8,593,824,72
177,Purdue (Big Ten),39,34-5,675,938,72
178,Fla. Atlantic (AAC),34,25-9,521,724,72
179,Western Ky. (CUSA),34,22-12,503,699,72
180,Duquesne (Atlantic 10),37,25-12,490,681,72
181,Northern Ky. (Horizon),33,18-15,497,691,71.9
182,Oregon (Pac-12),36,24-12,494,687,71.9
183,Maine (America East),32,15-17,389,541,71.9
184,North Dakota St. (Summit League),32,15-17,390,543,71.8
185,Hawaii (Big West),34,20-14,507,706,71.8
186,Evansville (MVC),35,17-18,414,577,71.8
187,Boston U. (Patriot),33,16-17,403,562,71.7
188,UC Riverside (Big West),34,16-18,433,604,71.7
189,Arizona (Pac-12),36,27-9,605,844,71.7
190,Robert Morris (Horizon),32,10-22,387,540,71.7
191,Buffalo (MAC),31,4-27,361,504,71.6
192,Vermont (America East),35,28-7,406,567,71.6
193,Portland (WCC),33,12-21,416,581,71.6
194,Bucknell (Patriot),33,14-19,368,514,71.6
195,Sacramento St. (Big Sky),34,10-24,428,598,71.6
196,Valparaiso (MVC),32,7-25,337,471,71.5
197,Florida (SEC),36,24-12,646,903,71.5
198,Bowling Green (MAC),34,20-14,522,730,71.5
199,UMES (MEAC),29,9-20,386,540,71.5
200,Monmouth (CAA),33,18-15,418,585,71.5
201,Santa Clara (WCC),33,20-13,443,620,71.5
202,Georgetown (Big East),32,9-23,452,633,71.4
203,Hampton (CAA),33,9-24,422,591,71.4
204,North Dakota (Summit League),32,18-14,428,600,71.3
205,Kansas City (Summit League),32,16-16,405,568,71.3
206,N.C. A&T (CAA),32,7-25,454,637,71.3
207,Saint Peter's (MAAC),33,19-14,508,713,71.2
208,Western Caro. (SoCon),32,22-10,394,553,71.2
209,Alcorn (SWAC),32,14-18,498,699,71.2
210,Chicago St. (DI Independent),32,13-19,481,676,71.2
211,South Carolina (SEC),34,26-8,446,627,71.1
212,Illinois St. (MVC),32,15-17,448,630,71.1
213,Tennessee Tech (OVC),31,10-21,371,522,71.1
214,Marshall (Sun Belt),33,13-20,437,615,71.1
215,Missouri St. (MVC),33,17-16,432,608,71.1
216,UTSA (AAC),32,11-21,498,701,71
217,South Dakota St. (Summit League),35,22-13,421,593,71
218,Temple (AAC),36,16-20,503,709,70.9
219,Georgia Tech (ACC),32,14-18,398,561,70.9
220,Vanderbilt (SEC),32,9-23,468,660,70.9
221,NJIT (America East),28,7-21,375,529,70.9
222,Central Conn. St. (NEC),31,20-11,409,577,70.9
223,Long Beach St. (Big West),36,21-15,606,855,70.9
224,Navy (Patriot),31,13-18,447,631,70.8
225,Pittsburgh (ACC),33,22-11,432,610,70.8
226,Cal St. Fullerton (Big West),32,14-18,485,685,70.8
227,Grambling (SWAC),36,21-15,531,750,70.8
228,Michigan St. (Big Ten),35,20-15,426,602,70.8
229,Florida St. (ACC),33,17-16,520,735,70.7
229,Elon (CAA),32,13-19,416,588,70.7
231,New Mexico (Mountain West),36,26-10,549,776,70.7
232,UNI (MVC),33,19-14,493,697,70.7
233,Yale (Ivy League),33,23-10,386,546,70.7
234,Texas A&M (SEC),36,21-15,629,890,70.7
235,Delaware (CAA),33,19-14,407,576,70.7
236,Miami (OH) (MAC),32,15-17,404,572,70.6
237,Delaware St. (MEAC),34,15-19,541,766,70.6
238,Morehead St. (OVC),35,26-9,418,592,70.6
239,SFA (WAC),33,18-15,562,796,70.6
240,The Citadel (SoCon),32,11-21,425,602,70.6
241,Austin Peay (ASUN),35,19-16,460,652,70.6
242,West Virginia (Big 12),32,9-23,467,662,70.5
243,Jacksonville (ASUN),33,16-17,485,688,70.5
244,Cal Poly (Big West),32,4-28,401,569,70.5
245,UTRGV (WAC),31,6-25,513,728,70.5
246,Washington St. (Pac-12),35,25-10,455,646,70.4
247,Pepperdine (WCC),33,13-20,442,628,70.4
248,Middle Tenn. (CUSA),33,14-19,444,631,70.4
249,Wagner (NEC),33,17-16,349,496,70.4
250,Jackson St. (SWAC),32,15-17,470,668,70.4
251,Purdue Fort Wayne (Horizon),36,23-13,460,654,70.3
252,A&M-Corpus Christi (Southland),33,21-12,519,738,70.3
253,Marquette (Big East),37,27-10,405,576,70.3
254,James Madison (Sun Belt),36,32-4,542,771,70.3
255,Michigan (Big Ten),32,8-24,421,599,70.3
256,San Jose St. (Mountain West),32,9-23,297,423,70.2
257,Winthrop (Big South),32,17-15,601,856,70.2
258,Harvard (Ivy League),27,14-13,370,527,70.2
259,Jacksonville St. (CUSA),32,14-18,464,661,70.2
260,Iowa St. (Big 12),37,29-8,537,765,70.2
261,Arkansas St. (Sun Belt),37,20-17,534,761,70.2
262,William & Mary (CAA),33,10-23,435,620,70.2
263,UCF (Big 12),33,17-16,507,723,70.1
264,Louisiana Tech (CUSA),32,22-10,517,738,70.1
265,Florida A&M (SWAC),29,6-23,325,464,70
266,FDU (NEC),32,15-17,476,680,70
267,Southern Miss. (Sun Belt),32,16-16,485,693,70
268,Southeast Mo. St. (OVC),31,9-22,358,512,69.9
269,Massachusetts (Atlantic 10),31,20-11,476,681,69.9
270,UMBC (America East),32,11-21,352,504,69.8
271,Wichita St. (AAC),34,15-19,385,552,69.7
272,Oklahoma St. (Big 12),32,12-20,426,611,69.7
273,Marist (MAAC),31,18-13,340,488,69.7
274,Murray St. (MVC),32,12-20,381,547,69.7
275,Northern Ariz. (Big Sky),33,14-19,408,586,69.6
276,Texas St. (Sun Belt),35,17-18,520,747,69.6
277,FGCU (ASUN),32,14-18,349,502,69.5
278,Rice (AAC),32,11-21,387,557,69.5
279,N.C. Central (MEAC),31,18-13,496,714,69.5
280,Sacred Heart (NEC),32,16-16,407,586,69.5
281,Southern California (Pac-12),33,15-18,450,649,69.3
282,McNeese (Southland),34,30-4,516,745,69.3
283,VMI (SoCon),32,4-28,358,517,69.2
284,East Carolina (AAC),33,15-18,463,669,69.2
285,UTEP (CUSA),34,18-16,558,809,69
286,Dartmouth (Ivy League),27,6-21,291,422,69
287,Minnesota (Big Ten),34,19-15,462,670,69
288,South Carolina St. (MEAC),32,14-18,477,692,68.9
289,Cincinnati (Big 12),37,22-15,439,638,68.8
290,Penn (Ivy League),29,11-18,322,468,68.8
291,UIC (MVC),33,12-21,344,500,68.8
292,Houston (Big 12),37,32-5,472,687,68.7
293,Longwood (Big South),35,21-14,552,804,68.7
294,SMU (AAC),33,20-13,416,606,68.6
295,Idaho St. (Big Sky),34,14-20,429,625,68.6
296,Portland St. (Big Sky),32,17-15,447,652,68.6
297,Fresno St. (Mountain West),33,12-21,380,555,68.5
298,California Baptist (WAC),33,16-17,478,700,68.3
299,ETSU (SoCon),35,19-16,498,730,68.2
300,Air Force (Mountain West),31,9-22,324,475,68.2
301,Colgate (Patriot),35,25-10,368,540,68.1
302,Loyola Chicago (Atlantic 10),33,23-10,428,629,68
303,App State (Sun Belt),34,27-7,447,657,68
304,Eastern Ky. (ASUN),31,17-14,427,628,68
305,New Mexico St. (CUSA),32,13-19,418,617,67.7
306,LIU (NEC),29,7-22,360,532,67.7
307,Utah Valley (WAC),32,16-16,443,655,67.6
308,Saint Mary's (CA) (WCC),34,26-8,386,571,67.6
309,Kennesaw St. (ASUN),31,15-16,460,682,67.4
310,Southern U. (SWAC),32,18-14,440,653,67.4
311,Lafayette (Patriot),32,11-21,295,438,67.4
312,NIU (MAC),31,11-20,442,658,67.2
313,Mississippi St. (SEC),35,21-14,508,758,67
314,FIU (CUSA),33,11-22,381,569,67
315,Bryant (America East),33,20-13,417,623,66.9
316,Mercer (SoCon),33,16-17,378,565,66.9
317,CSUN (Big West),34,19-15,506,757,66.8
318,Cleveland St. (Horizon),36,21-15,475,711,66.8
319,Eastern Mich. (MAC),31,13-18,303,454,66.7
320,Siena (MAAC),32,4-28,361,541,66.7
321,Binghamton (America East),30,15-15,397,595,66.7
322,ULM (Sun Belt),30,11-19,442,665,66.5
323,Coastal Carolina (Sun Belt),31,9-22,409,616,66.4
324,Indiana (Big Ten),33,19-14,462,696,66.4
325,Presbyterian (Big South),33,14-19,465,701,66.3
326,Old Dominion (Sun Belt),32,7-25,365,551,66.2
327,Fordham (Atlantic 10),33,13-20,464,701,66.2
328,Holy Cross (Patriot),33,10-23,315,476,66.2
329,Liberty (CUSA),32,18-14,312,472,66.1
330,Towson (CAA),34,20-14,444,672,66.1
331,Central Mich. (MAC),32,18-14,347,526,66
332,Northwestern St. (Southland),32,9-23,437,663,65.9
333,Mississippi Val. (SWAC),31,1-30,350,532,65.8
334,Rutgers (Big Ten),32,15-17,417,634,65.8
335,Arizona St. (Pac-12),32,14-18,412,629,65.5
336,Brown (Ivy League),31,13-18,394,603,65.3
337,Iona (MAAC),33,16-17,369,566,65.2
338,Utah (Pac-12),37,22-15,406,625,65
339,Rhode Island (Atlantic 10),32,12-20,461,713,64.7
340,Houston Christian (Southland),29,6-23,409,635,64.4
341,Loyola Maryland (Patriot),32,7-25,345,536,64.4
342,Pacific (WCC),32,6-26,418,650,64.3
343,USC Upstate (Big South),30,10-20,340,530,64.2
344,Virginia (ACC),34,23-11,304,477,63.7
345,Gardner-Webb (Big South),33,17-16,443,702,63.1
346,Western Mich. (MAC),32,12-20,372,595,62.5
347,Canisius (MAAC),32,14-18,338,541,62.5
348,Wofford (SoCon),32,17-15,330,532,62
349,Western Ill. (OVC),33,21-12,425,691,61.5
350,Saint Francis (PA) (NEC),30,8-22,336,551,61
351,Army West Point (Patriot),32,10-22,264,449,58.8