Rank,Team,GM,W-L,OPP REB,OPP RPG,REB MAR
1,Saint Mary's (CA) (WCC),34,26-8,942,27.7,11.9
2,Purdue (Big Ten),39,34-5,"1,141",29.3,11.2
3,Arizona (Pac-12),36,27-9,"1,175",32.6,9.9
4,Texas A&M (SEC),36,21-15,"1,212",33.7,9.1
5,UConn (Big East),40,37-3,"1,204",30.1,8.7
6,Longwood (Big South),35,21-14,"1,041",29.7,8.6
7,Morehead St. (OVC),35,26-9,"1,073",30.7,8.5
8,High Point (Big South),36,27-9,"1,134",31.5,8.5
9,Towson (CAA),34,20-14,"1,050",30.9,8.4
10,Western Ill. (OVC),33,21-12,"1,121",34,8.4
11,Drexel (CAA),32,20-12,999,31.2,7.9
12,Illinois (Big Ten),38,29-9,"1,259",33.1,7.8
13,UMass Lowell (America East),32,22-10,"1,064",33.3,7.5
14,Boise St. (Mountain West),33,22-11,984,29.8,7.5
15,North Carolina (ACC),37,29-8,"1,250",33.8,7.3
16,Cincinnati (Big 12),37,22-15,"1,192",32.2,7.2
17,Gonzaga (WCC),35,27-8,"1,110",31.7,7
17,Santa Clara (WCC),33,20-13,"1,065",32.3,7
19,Colorado (Pac-12),37,26-11,"1,117",30.2,6.8
20,A&M-Corpus Christi (Southland),33,21-12,"1,109",33.6,6.6
21,Florida (SEC),36,24-12,"1,289",35.8,6.5
22,Sacramento St. (Big Sky),34,10-24,991,29.1,6.4
23,Jacksonville St. (CUSA),32,14-18,983,30.7,6.1
24,BYU (Big 12),34,23-11,"1,136",33.4,6.1
25,Louisiana Tech (CUSA),32,22-10,"1,051",32.8,6
26,Washington St. (Pac-12),35,25-10,"1,107",31.6,6
27,Baylor (Big 12),35,24-11,"1,023",29.2,5.9
28,Youngstown St. (Horizon),32,22-10,"1,097",34.3,5.7
29,Mississippi St. (SEC),35,21-14,"1,140",32.6,5.5
30,App State (Sun Belt),34,27-7,"1,236",36.4,5.3
31,St. John's (NY) (Big East),33,20-13,"1,106",33.5,5.2
32,Binghamton (America East),30,15-15,999,33.3,5.2
33,CSUN (Big West),34,19-15,"1,187",34.9,5.1
34,SMU (AAC),33,20-13,"1,146",34.7,5.1
35,Duke (ACC),36,27-9,"1,136",31.6,5.1
36,Western Caro. (SoCon),32,22-10,"1,107",34.6,5.1
37,California Baptist (WAC),33,16-17,"1,074",32.5,5.1
38,UC Irvine (Big West),34,24-10,"1,120",32.9,4.9
39,Missouri St. (MVC),33,17-16,"1,131",34.3,4.8
40,Seton Hall (Big East),37,25-12,"1,202",32.5,4.8
41,TCU (Big 12),34,21-13,"1,103",32.4,4.7
42,James Madison (Sun Belt),36,32-4,"1,221",33.9,4.7
43,Col. of Charleston (CAA),35,27-8,"1,230",35.1,4.6
44,Jacksonville (ASUN),33,16-17,"1,059",32.1,4.5
45,Creighton (Big East),35,25-10,"1,176",33.6,4.5
46,George Mason (Atlantic 10),32,20-12,"1,009",31.5,4.5
47,Grand Canyon (WAC),35,30-5,"1,181",33.7,4.4
48,Massachusetts (Atlantic 10),31,20-11,"1,053",34,4.4
49,Seattle U (WAC),37,23-14,"1,210",32.7,4.3
50,New Mexico (Mountain West),36,26-10,"1,276",35.4,4.3
51,Troy (Sun Belt),32,20-12,"1,097",34.3,4.2
51,Wofford (SoCon),32,17-15,"1,057",33,4.2
53,San Diego St. (Mountain West),37,26-11,"1,245",33.6,4.1
54,Akron (MAC),35,24-11,"1,134",32.4,4.1
55,South Carolina St. (MEAC),32,14-18,"1,075",33.6,4
55,Kansas City (Summit League),32,16-16,"1,034",32.3,4
57,Fla. Atlantic (AAC),34,25-9,"1,159",34.1,4
58,Yale (Ivy League),33,23-10,"1,076",32.6,3.9
59,Wichita St. (AAC),34,15-19,"1,207",35.5,3.9
59,UT Arlington (WAC),34,20-14,"1,143",33.6,3.9
61,Alabama (SEC),37,25-12,"1,324",35.8,3.9
62,San Francisco (WCC),34,23-11,"1,030",30.3,3.8
63,Howard (MEAC),35,18-17,"1,125",32.1,3.8
64,Pittsburgh (ACC),33,22-11,"1,100",33.3,3.7
65,Sam Houston (CUSA),33,21-12,"1,133",34.3,3.7
66,Oklahoma (Big 12),32,20-12,"1,009",31.5,3.7
67,Tennessee (SEC),36,27-9,"1,265",35.1,3.6
68,Indiana St. (MVC),39,32-7,"1,245",31.9,3.5
69,Eastern Ky. (ASUN),31,17-14,"1,135",36.6,3.5
70,Quinnipiac (MAAC),34,24-10,"1,137",33.4,3.5
71,Western Ky. (CUSA),34,22-12,"1,243",36.6,3.4
72,Auburn (SEC),35,27-8,"1,206",34.5,3.3
73,Houston (Big 12),37,32-5,"1,251",33.8,3.3
74,UAB (AAC),35,23-12,"1,215",34.7,3.3
75,Bowling Green (MAC),34,20-14,"1,182",34.8,3.2
76,Loyola Chicago (Atlantic 10),33,23-10,"1,108",33.6,3.2
77,UCF (Big 12),33,17-16,"1,140",34.5,3.1
78,Arkansas St. (Sun Belt),37,20-17,"1,304",35.2,3.1
79,UT Martin (OVC),32,21-11,"1,220",38.1,3.1
80,McNeese (Southland),34,30-4,"1,121",33,3.1
81,Wisconsin (Big Ten),36,22-14,"1,113",30.9,3.1
82,Canisius (MAAC),32,14-18,"1,083",33.8,3.1
83,Long Beach St. (Big West),36,21-15,"1,289",35.8,3.1
84,Milwaukee (Horizon),35,20-15,"1,258",35.9,3
85,South Dakota (Summit League),32,12-20,"1,102",34.4,3
85,SFA (WAC),33,18-15,"1,085",32.9,3
87,North Dakota (Summit League),32,18-14,"1,077",33.7,2.9
88,South Carolina (SEC),34,26-8,"1,111",32.7,2.9
89,Lamar University (Southland),33,19-14,"1,161",35.2,2.9
90,ULM (Sun Belt),30,11-19,"1,047",34.9,2.9
91,Robert Morris (Horizon),32,10-22,"1,068",33.4,2.8
92,UC Santa Barbara (Big West),31,16-15,993,32,2.8
93,Rider (MAAC),32,15-17,"1,112",34.8,2.8
94,Ohio St. (Big Ten),36,22-14,"1,235",34.3,2.8
95,Utah St. (Mountain West),35,28-7,"1,157",33.1,2.8
96,Mount St. Mary's (MAAC),32,13-19,"1,037",32.4,2.8
97,ETSU (SoCon),35,19-16,"1,254",35.8,2.7
98,Kansas St. (Big 12),34,19-15,"1,182",34.8,2.7
99,Georgia Tech (ACC),32,14-18,"1,133",35.4,2.7
100,Western Mich. (MAC),32,12-20,"1,128",35.3,2.6
101,Brown (Ivy League),31,13-18,"1,073",34.6,2.6
102,Colgate (Patriot),35,25-10,"1,156",33,2.5
103,Utah (Pac-12),37,22-15,"1,344",36.3,2.5
104,Northeastern (CAA),32,12-20,981,30.7,2.5
105,Coastal Carolina (Sun Belt),31,9-22,"1,172",37.8,2.5
106,Rhode Island (Atlantic 10),32,12-20,"1,100",34.4,2.4
107,Kansas (Big 12),34,23-11,"1,147",33.7,2.4
108,LMU (CA) (WCC),31,12-19,"1,009",32.5,2.4
109,Little Rock (OVC),34,21-13,"1,165",34.3,2.3
110,Eastern Wash. (Big Sky),32,21-11,"1,009",31.5,2.3
111,Penn (Ivy League),29,11-18,975,33.6,2.3
112,Columbia (Ivy League),27,13-14,902,33.4,2.3
113,Clemson (ACC),36,24-12,"1,226",34.1,2.3
114,Chattanooga (SoCon),33,21-12,"1,132",34.3,2.2
115,North Dakota St. (Summit League),32,15-17,"1,026",32.1,2.2
116,Wright St. (Horizon),32,18-14,"1,041",32.5,2.2
117,Xavier (Big East),34,16-18,"1,223",36,2.2
118,UTSA (AAC),32,11-21,"1,221",38.2,2.1
119,Delaware St. (MEAC),34,15-19,"1,098",32.3,2.1
120,Minnesota (Big Ten),34,19-15,"1,116",32.8,2.1
121,Boston U. (Patriot),33,16-17,"1,099",33.3,2.1
122,Hawaii (Big West),34,20-14,"1,086",31.9,2
123,VCU (Atlantic 10),38,24-14,"1,259",33.1,2
124,North Texas (AAC),34,19-15,"1,111",32.7,2
124,American (Patriot),32,16-16,979,30.6,2
126,Furman (SoCon),33,17-16,"1,183",35.8,1.9
127,Central Conn. St. (NEC),31,20-11,"1,051",33.9,1.9
128,South Dakota St. (Summit League),35,22-13,"1,173",33.5,1.9
129,Idaho St. (Big Sky),34,14-20,"1,029",30.3,1.9
130,The Citadel (SoCon),32,11-21,"1,034",32.3,1.9
131,Alcorn (SWAC),32,14-18,"1,028",32.1,1.8
132,Gardner-Webb (Big South),33,17-16,"1,201",36.4,1.8
133,Texas St. (Sun Belt),35,17-18,"1,182",33.8,1.7
134,FGCU (ASUN),32,14-18,"1,043",32.6,1.7
135,Notre Dame (ACC),33,13-20,"1,129",34.2,1.7
136,Nevada (Mountain West),34,26-8,"1,110",32.6,1.7
137,Saint Peter's (MAAC),33,19-14,"1,106",33.5,1.7
138,Bradley (MVC),35,23-12,"1,156",33,1.7
139,Wake Forest (ACC),35,21-14,"1,140",32.6,1.6
140,Drake (MVC),35,28-7,"1,147",32.8,1.6
141,UNC Greensboro (SoCon),32,21-11,"1,083",33.8,1.6
141,Illinois St. (MVC),32,15-17,"1,064",33.3,1.6
143,Montana (Big Sky),36,24-12,"1,173",32.6,1.5
143,Loyola Maryland (Patriot),32,7-25,"1,049",32.8,1.5
145,Winthrop (Big South),32,17-15,"1,088",34,1.4
145,Southeastern La. (Southland),32,15-17,"1,074",33.6,1.4
147,Liberty (CUSA),32,18-14,"1,042",32.6,1.4
148,UC Riverside (Big West),34,16-18,"1,209",35.6,1.4
149,Kent St. (MAC),34,17-17,"1,132",33.3,1.4
150,Norfolk St. (MEAC),35,24-11,"1,158",33.1,1.3
151,Princeton (Ivy League),29,24-5,928,32,1.3
152,Delaware (CAA),33,19-14,"1,136",34.4,1.3
153,UCLA (Pac-12),33,16-17,"1,074",32.5,1.2
154,Ball St. (MAC),31,15-16,"1,044",33.7,1.2
155,Oakland (Horizon),36,24-12,"1,248",34.7,1.2
156,CSU Bakersfield (Big West),32,13-19,"1,070",33.4,1.2
157,Texas Tech (Big 12),34,23-11,"1,148",33.8,1.2
158,Michigan St. (Big Ten),35,20-15,"1,176",33.6,1.1
159,Fordham (Atlantic 10),33,13-20,"1,189",36,1.1
160,UIW (Southland),31,8-23,"1,100",35.5,1.1
161,Wyoming (Mountain West),32,15-17,"1,069",33.4,1.1
162,Pepperdine (WCC),33,13-20,"1,080",32.7,1.1
163,Boston College (ACC),36,20-16,"1,235",34.3,1
163,Jackson St. (SWAC),32,15-17,"1,129",35.3,1
163,Siena (MAAC),32,4-28,"1,100",34.4,1
163,Southern Ill. (MVC),32,19-13,"1,023",32,1
167,Maryland (Big Ten),33,16-17,"1,147",34.8,1
168,Utah Valley (WAC),32,16-16,"1,148",35.9,1
169,Miami (FL) (ACC),32,15-17,"1,144",35.8,0.9
170,Vermont (America East),35,28-7,"1,183",33.8,0.8
171,St. Bonaventure (Atlantic 10),33,20-13,"1,060",32.1,0.8
172,Villanova (Big East),34,18-16,"1,157",34,0.8
173,Kentucky (SEC),33,23-10,"1,215",36.8,0.8
173,Dayton (Atlantic 10),33,25-8,"1,081",32.8,0.8
175,California (Pac-12),32,13-19,"1,164",36.4,0.8
176,Providence (Big East),35,21-14,"1,230",35.1,0.8
177,SIUE (OVC),33,17-16,"1,150",34.8,0.8
177,UNI (MVC),33,19-14,"1,092",33.1,0.8
179,Iowa St. (Big 12),37,29-8,"1,227",33.2,0.7
180,Northern Colo. (Big Sky),33,19-14,"1,133",34.3,0.7
181,Saint Joseph's (Atlantic 10),35,21-14,"1,229",35.1,0.7
182,Colorado St. (Mountain West),36,25-11,"1,180",32.8,0.6
183,Wagner (NEC),33,17-16,"1,162",35.2,0.6
184,Texas (Big 12),34,21-13,"1,158",34.1,0.6
185,LSU (SEC),33,17-16,"1,158",35.1,0.6
186,Duquesne (Atlantic 10),37,25-12,"1,268",34.3,0.5
187,Michigan (Big Ten),32,8-24,"1,117",34.9,0.5
188,Memphis (AAC),32,22-10,"1,169",36.5,0.5
188,Green Bay (Horizon),32,18-14,"1,045",32.7,0.5
190,Oregon (Pac-12),36,24-12,"1,221",33.9,0.5
191,UNLV (Mountain West),34,21-13,"1,148",33.8,0.5
191,Virginia Tech (ACC),34,19-15,"1,085",31.9,0.5
193,Saint Francis (PA) (NEC),30,8-22,"1,024",34.1,0.5
194,Marshall (Sun Belt),33,13-20,"1,290",39.1,0.4
194,East Carolina (AAC),33,15-18,"1,141",34.6,0.4
196,Nebraska (Big Ten),34,23-11,"1,268",37.3,0.4
197,Alabama St. (SWAC),32,13-19,"1,260",39.4,0.2
197,Southern Miss. (Sun Belt),32,16-16,"1,172",36.6,0.2
197,Toledo (MAC),32,20-12,"1,076",33.6,0.2
200,Kennesaw St. (ASUN),31,15-16,"1,201",38.7,0.1
201,Georgetown (Big East),32,9-23,"1,087",34,0.1
202,Army West Point (Patriot),32,10-22,"1,086",33.9,0.1
203,Stetson (ASUN),35,22-13,"1,214",34.7,0.1
204,N.C. Central (MEAC),31,18-13,"1,096",35.4,0
205,UAlbany (America East),32,13-19,"1,152",36,0
206,Portland St. (Big Sky),32,17-15,"1,182",36.9,0
207,Indiana (Big Ten),33,19-14,"1,156",35,-0.1
208,Samford (SoCon),35,29-6,"1,255",35.9,-0.1
209,North Ala. (ASUN),32,15-17,"1,135",35.5,-0.1
210,Omaha (Summit League),33,15-18,"1,115",33.8,-0.1
211,Rice (AAC),32,11-21,"1,138",35.6,-0.1
211,Eastern Ill. (OVC),32,14-18,"1,135",35.5,-0.1
211,Weber St. (Big Sky),32,20-12,"1,029",32.2,-0.1
214,Washington (Pac-12),32,17-15,"1,157",36.2,-0.2
215,Cornell (Ivy League),30,22-8,"1,069",35.6,-0.2
216,Louisville (ACC),32,8-24,"1,109",34.7,-0.3
216,Oklahoma St. (Big 12),32,12-20,"1,087",34,-0.3
218,Alabama A&M (SWAC),35,12-23,"1,258",35.9,-0.3
219,UNCW (CAA),31,21-10,"1,076",34.7,-0.3
220,Hampton (CAA),33,9-24,"1,233",37.4,-0.4
221,Navy (Patriot),31,13-18,"1,116",36,-0.4
222,UC Davis (Big West),33,20-13,"1,115",33.8,-0.4
223,Lehigh (Patriot),32,14-18,"1,150",35.9,-0.4
224,Charlotte (AAC),31,19-12,"1,020",32.9,-0.5
225,Radford (Big South),33,16-17,"1,158",35.1,-0.5
226,Murray St. (MVC),32,12-20,"1,063",33.2,-0.5
227,Presbyterian (Big South),33,14-19,"1,115",33.8,-0.5
228,Stony Brook (CAA),35,20-15,"1,299",37.1,-0.5
229,Davidson (Atlantic 10),32,15-17,"1,128",35.3,-0.6
230,Charleston So. (Big South),30,10-20,"1,085",36.2,-0.6
231,UNC Asheville (Big South),34,22-12,"1,204",35.4,-0.6
232,Mercer (SoCon),33,16-17,"1,155",35,-0.7
233,George Washington (Atlantic 10),32,15-17,"1,203",37.6,-0.7
234,South Fla. (AAC),33,25-8,"1,213",36.8,-0.7
235,Butler (Big East),33,18-15,"1,187",36,-0.8
236,Central Ark. (ASUN),32,9-23,"1,191",37.2,-0.8
237,Tennessee St. (OVC),33,18-15,"1,173",35.5,-0.9
238,NC State (ACC),41,26-15,"1,484",36.2,-0.9
239,William & Mary (CAA),33,10-23,"1,192",36.1,-0.9
240,NIU (MAC),31,11-20,"1,141",36.8,-1
241,Niagara (MAAC),32,16-16,"1,008",31.5,-1
242,Georgia St. (Sun Belt),31,14-17,"1,193",38.5,-1.1
242,Marist (MAAC),31,18-13,"1,029",33.2,-1.1
244,Texas Southern (SWAC),33,16-17,"1,202",36.4,-1.1
244,Louisiana (Sun Belt),33,19-14,"1,170",35.5,-1.1
246,Chicago St. (DI Independent),32,13-19,"1,110",34.7,-1.1
247,Houston Christian (Southland),29,6-23,"1,109",38.2,-1.1
248,Denver (Summit League),34,17-17,"1,252",36.8,-1.1
249,Bucknell (Patriot),33,14-19,"1,112",33.7,-1.2
250,Grambling (SWAC),36,21-15,"1,203",33.4,-1.3
251,Stanford (Pac-12),32,14-18,"1,140",35.6,-1.3
252,UTEP (CUSA),34,18-16,"1,170",34.4,-1.4
253,Ohio (MAC),33,20-13,"1,198",36.3,-1.4
254,Central Mich. (MAC),32,18-14,"1,206",37.7,-1.4
254,Elon (CAA),32,13-19,"1,126",35.2,-1.4
254,Southern U. (SWAC),32,18-14,"1,064",33.3,-1.4
257,Northern Ky. (Horizon),33,18-15,"1,187",36,-1.4
258,Middle Tenn. (CUSA),33,14-19,"1,194",36.2,-1.4
259,New Hampshire (America East),31,16-15,"1,205",38.9,-1.5
260,Saint Louis (Atlantic 10),33,13-20,"1,155",35,-1.5
261,Dartmouth (Ivy League),27,6-21,938,34.7,-1.5
262,Cleveland St. (Horizon),36,21-15,"1,321",36.7,-1.5
263,Austin Peay (ASUN),35,19-16,"1,241",35.5,-1.5
264,Iowa (Big Ten),34,19-15,"1,262",37.1,-1.5
265,New Mexico St. (CUSA),32,13-19,"1,128",35.3,-1.5
266,Nicholls (Southland),34,20-14,"1,252",36.8,-1.6
267,Monmouth (CAA),33,18-15,"1,219",36.9,-1.6
268,Lipscomb (ASUN),32,20-12,"1,115",34.8,-1.6
268,Oregon St. (Pac-12),32,13-19,"1,092",34.1,-1.6
270,Fairfield (MAAC),37,24-13,"1,299",35.1,-1.6
271,Arkansas (SEC),33,16-17,"1,200",36.4,-1.8
272,Buffalo (MAC),31,4-27,"1,140",36.8,-1.9
273,Morgan St. (MEAC),31,11-20,"1,159",37.4,-1.9
273,Eastern Mich. (MAC),31,13-18,"1,129",36.4,-1.9
275,Belmont (MVC),33,20-13,"1,194",36.2,-1.9
276,Evansville (MVC),35,17-18,"1,246",35.6,-1.9
277,Florida A&M (SWAC),29,6-23,"1,059",36.5,-2
278,Southern California (Pac-12),33,15-18,"1,189",36,-2
279,Northwestern (Big Ten),34,22-12,"1,137",33.4,-2
280,Harvard (Ivy League),27,14-13,996,36.9,-2
281,West Virginia (Big 12),32,9-23,"1,147",35.8,-2.1
282,North Florida (ASUN),32,16-16,"1,144",35.8,-2.1
283,Bethune-Cookman (SWAC),34,17-17,"1,213",35.7,-2.2
283,Virginia (ACC),34,23-11,"1,181",34.7,-2.2
285,UMES (MEAC),29,9-20,"1,079",37.2,-2.2
286,Campbell (CAA),32,14-18,"1,112",34.8,-2.3
287,Georgia (SEC),37,20-17,"1,405",38,-2.3
288,Idaho (Big Sky),32,11-21,"1,085",33.9,-2.3
289,Portland (WCC),33,12-21,"1,193",36.2,-2.5
290,Rutgers (Big Ten),32,15-17,"1,267",39.6,-2.5
291,VMI (SoCon),32,4-28,"1,250",39.1,-2.5
292,Hofstra (CAA),33,20-13,"1,164",35.3,-2.5
293,UMBC (America East),32,11-21,"1,260",39.4,-2.5
294,FDU (NEC),32,15-17,"1,275",39.8,-2.6
295,Temple (AAC),36,16-20,"1,400",38.9,-2.7
296,Tulsa (AAC),31,16-15,"1,175",37.9,-2.7
297,Vanderbilt (SEC),32,9-23,"1,189",37.2,-2.7
298,Holy Cross (Patriot),33,10-23,"1,170",35.5,-2.8
299,Cal St. Fullerton (Big West),32,14-18,"1,137",35.5,-2.8
299,Maine (America East),32,15-17,"1,133",35.4,-2.8
301,La Salle (Atlantic 10),33,16-17,"1,235",37.4,-2.8
302,LIU (NEC),29,7-22,"1,097",37.8,-2.9
303,Marquette (Big East),37,27-10,"1,326",35.8,-3.1
304,NJIT (America East),28,7-21,"1,059",37.8,-3.1
305,UIC (MVC),33,12-21,"1,216",36.8,-3.2
306,Northwestern St. (Southland),32,9-23,"1,212",37.9,-3.3
306,Miami (OH) (MAC),32,15-17,"1,168",36.5,-3.3
308,Abilene Christian (WAC),34,16-18,"1,251",36.8,-3.3
309,San Diego (WCC),33,18-15,"1,237",37.5,-3.3
310,Fresno St. (Mountain West),33,12-21,"1,154",35,-3.4
311,Sacred Heart (NEC),32,16-16,"1,187",37.1,-3.4
312,Florida St. (ACC),33,17-16,"1,214",36.8,-3.5
313,Southern Utah (WAC),31,10-21,"1,158",37.4,-3.5
314,Ole Miss (SEC),32,20-12,"1,186",37.1,-3.6
315,Ark.-Pine Bluff (SWAC),31,13-18,"1,188",38.3,-3.7
316,Lafayette (Patriot),32,11-21,"1,184",37,-3.8
316,IU Indy (Horizon),32,6-26,"1,064",33.3,-3.8
318,Ga. Southern (Sun Belt),33,9-24,"1,258",38.1,-3.9
319,Iona (MAAC),33,16-17,"1,189",36,-4.2
320,Richmond (Atlantic 10),33,23-10,"1,224",37.1,-4.3
321,Syracuse (ACC),32,20-12,"1,203",37.6,-4.3
322,Purdue Fort Wayne (Horizon),36,23-13,"1,330",36.9,-4.4
323,Southeast Mo. St. (OVC),31,9-22,"1,120",36.1,-4.4
324,Penn St. (Big Ten),33,16-17,"1,218",36.9,-4.6
325,Air Force (Mountain West),31,9-22,"1,016",32.8,-4.6
326,Bryant (America East),33,20-13,"1,401",42.5,-4.7
327,Montana St. (Big Sky),35,17-18,"1,233",35.2,-4.7
328,Manhattan (MAAC),30,7-23,"1,139",38,-5
329,Old Dominion (Sun Belt),32,7-25,"1,295",40.5,-5
329,San Jose St. (Mountain West),32,9-23,"1,147",35.8,-5
331,Tennessee Tech (OVC),31,10-21,"1,113",35.9,-5
332,Northern Ariz. (Big Sky),33,14-19,"1,207",36.6,-5.2
333,Valparaiso (MVC),32,7-25,"1,233",38.5,-5.3
334,New Orleans (Southland),33,10-23,"1,314",39.8,-5.3
335,Oral Roberts (Summit League),31,12-19,"1,188",38.3,-5.4
336,South Alabama (Sun Belt),32,16-16,"1,238",38.7,-5.7
337,UTRGV (WAC),31,6-25,"1,223",39.5,-6
338,Missouri (SEC),32,8-24,"1,188",37.1,-6.1
339,Tulane (AAC),31,14-17,"1,222",39.4,-6.2
340,USC Upstate (Big South),30,10-20,"1,138",37.9,-6.3
341,Mississippi Val. (SWAC),31,1-30,"1,111",35.8,-6.5
342,Prairie View (SWAC),31,10-21,"1,155",37.3,-6.5
343,Merrimack (NEC),33,21-12,"1,252",37.9,-6.6
344,DePaul (Big East),32,3-29,"1,169",36.5,-6.8
345,Detroit Mercy (Horizon),32,1-31,"1,172",36.6,-7.1
346,FIU (CUSA),33,11-22,"1,281",38.8,-7.2
347,Cal Poly (Big West),32,4-28,"1,232",38.5,-7.3
348,Arizona St. (Pac-12),32,14-18,"1,298",40.6,-7.3
349,N.C. A&T (CAA),32,7-25,"1,306",40.8,-8.9
350,Coppin St. (MEAC),29,2-27,"1,135",39.1,-9
351,Pacific (WCC),32,6-26,"1,213",37.9,-10.6