Rank,Team,GM,W-L,OPP PTS,OPP PPG
1,Houston (Big 12),37,32-5,"2,132",57.6
2,Saint Mary's (CA) (WCC),34,26-8,"2,013",59.2
3,Virginia (ACC),34,23-11,"2,031",59.7
4,Iowa St. (Big 12),37,29-8,"2,277",61.5
5,Marist (MAAC),31,18-13,"1,928",62.2
6,McNeese (Southland),34,30-4,"2,116",62.2
7,Vermont (America East),35,28-7,"2,205",63
8,Wagner (NEC),33,17-16,"2,083",63.1
9,UConn (Big East),40,37-3,"2,536",63.4
10,Morehead St. (OVC),35,26-9,"2,220",63.4
11,Towson (CAA),34,20-14,"2,164",63.6
12,North Texas (AAC),34,19-15,"2,169",63.8
13,Saint Peter's (MAAC),33,19-14,"2,113",64
14,Colgate (Patriot),35,25-10,"2,242",64.1
15,Army West Point (Patriot),32,10-22,"2,059",64.3
16,Louisiana Tech (CUSA),32,22-10,"2,065",64.5
17,Merrimack (NEC),33,21-12,"2,159",65.4
18,UCLA (Pac-12),33,16-17,"2,160",65.5
19,Liberty (CUSA),32,18-14,"2,096",65.5
20,Charlotte (AAC),31,19-12,"2,034",65.6
21,Villanova (Big East),34,18-16,"2,231",65.6
22,Western Ill. (OVC),33,21-12,"2,167",65.7
23,Maryland (Big Ten),33,16-17,"2,174",65.9
24,George Mason (Atlantic 10),32,20-12,"2,109",65.9
25,Michigan St. (Big Ten),35,20-15,"2,312",66.1
26,Akron (MAC),35,24-11,"2,316",66.2
27,Richmond (Atlantic 10),33,23-10,"2,188",66.3
28,Duke (ACC),36,27-9,"2,387",66.3
29,Jacksonville St. (CUSA),32,14-18,"2,126",66.4
30,Dayton (Atlantic 10),33,25-8,"2,193",66.5
31,Central Conn. St. (NEC),31,20-11,"2,061",66.5
32,San Francisco (WCC),34,23-11,"2,262",66.5
33,Rutgers (Big Ten),32,15-17,"2,129",66.5
34,Boston U. (Patriot),33,16-17,"2,196",66.5
35,Drexel (CAA),32,20-12,"2,130",66.6
36,California Baptist (WAC),33,16-17,"2,197",66.6
37,Princeton (Ivy League),29,24-5,"1,932",66.6
38,A&M-Corpus Christi (Southland),33,21-12,"2,200",66.7
39,Duquesne (Atlantic 10),37,25-12,"2,467",66.7
39,San Diego St. (Mountain West),37,26-11,"2,467",66.7
41,Navy (Patriot),31,13-18,"2,067",66.7
42,VCU (Atlantic 10),38,24-14,"2,534",66.7
43,Washington St. (Pac-12),35,25-10,"2,335",66.7
44,Seattle U (WAC),37,23-14,"2,471",66.8
45,Nevada (Mountain West),34,26-8,"2,276",66.9
46,Grand Canyon (WAC),35,30-5,"2,346",67
47,Bradley (MVC),35,23-12,"2,348",67.1
48,App State (Sun Belt),34,27-7,"2,283",67.1
49,Notre Dame (ACC),33,13-20,"2,216",67.2
50,Bucknell (Patriot),33,14-19,"2,217",67.2
51,Colorado St. (Mountain West),36,25-11,"2,422",67.3
52,Boise St. (Mountain West),33,22-11,"2,221",67.3
53,Lafayette (Patriot),32,11-21,"2,154",67.3
54,Tennessee (SEC),36,27-9,"2,426",67.4
55,Yale (Ivy League),33,23-10,"2,226",67.5
56,Maine (America East),32,15-17,"2,159",67.5
57,Loyola Chicago (Atlantic 10),33,23-10,"2,228",67.5
58,Weber St. (Big Sky),32,20-12,"2,161",67.5
59,Norfolk St. (MEAC),35,24-11,"2,364",67.5
60,South Carolina (SEC),34,26-8,"2,297",67.6
61,Pittsburgh (ACC),33,22-11,"2,232",67.6
62,Illinois St. (MVC),32,15-17,"2,165",67.7
63,Eastern Ill. (OVC),32,14-18,"2,172",67.9
64,Davidson (Atlantic 10),32,15-17,"2,174",67.9
65,UCF (Big 12),33,17-16,"2,242",67.9
66,American (Patriot),32,16-16,"2,176",68
67,UC Davis (Big West),33,20-13,"2,246",68.1
68,Cincinnati (Big 12),37,22-15,"2,522",68.2
69,Southern Ill. (MVC),32,19-13,"2,183",68.2
70,UC Irvine (Big West),34,24-10,"2,321",68.3
71,Auburn (SEC),35,27-8,"2,391",68.3
72,Hofstra (CAA),33,20-13,"2,259",68.5
73,Longwood (Big South),35,21-14,"2,396",68.5
74,Utah Valley (WAC),32,16-16,"2,195",68.6
75,St. Bonaventure (Atlantic 10),33,20-13,"2,265",68.6
76,Southern U. (SWAC),32,18-14,"2,198",68.7
76,Western Caro. (SoCon),32,22-10,"2,198",68.7
78,Hawaii (Big West),34,20-14,"2,337",68.7
79,Providence (Big East),35,21-14,"2,407",68.8
80,Oklahoma (Big 12),32,20-12,"2,201",68.8
81,SMU (AAC),33,20-13,"2,271",68.8
82,UNLV (Mountain West),34,21-13,"2,341",68.9
83,Texas (Big 12),34,21-13,"2,342",68.9
84,Purdue (Big Ten),39,34-5,"2,689",68.9
85,Green Bay (Horizon),32,18-14,"2,207",69
86,N.C. Central (MEAC),31,18-13,"2,139",69
87,Mississippi St. (SEC),35,21-14,"2,417",69.1
88,Northwestern (Big Ten),34,22-12,"2,348",69.1
88,UTEP (CUSA),34,18-16,"2,348",69.1
90,Cal St. Fullerton (Big West),32,14-18,"2,212",69.1
91,Gonzaga (WCC),35,27-8,"2,420",69.1
92,Sam Houston (CUSA),33,21-12,"2,282",69.2
93,CSU Bakersfield (Big West),32,13-19,"2,214",69.2
94,Kansas City (Summit League),32,16-16,"2,217",69.3
95,South Fla. (AAC),33,25-8,"2,288",69.3
96,Alabama St. (SWAC),32,13-19,"2,221",69.4
97,ETSU (SoCon),35,19-16,"2,435",69.6
98,Grambling (SWAC),36,21-15,"2,506",69.6
98,James Madison (Sun Belt),36,32-4,"2,506",69.6
100,Texas Tech (Big 12),34,23-11,"2,368",69.6
101,Delaware (CAA),33,19-14,"2,299",69.7
102,UNC Greensboro (SoCon),32,21-11,"2,233",69.8
103,Marquette (Big East),37,27-10,"2,583",69.8
104,Kansas (Big 12),34,23-11,"2,376",69.9
105,Creighton (Big East),35,25-10,"2,446",69.9
106,Murray St. (MVC),32,12-20,"2,237",69.9
107,Seton Hall (Big East),37,25-12,"2,587",69.9
108,BYU (Big 12),34,23-11,"2,378",69.9
109,Ohio (MAC),33,20-13,"2,309",70
110,Wisconsin (Big Ten),36,22-14,"2,520",70
111,Miami (OH) (MAC),32,15-17,"2,241",70
112,Texas St. (Sun Belt),35,17-18,"2,452",70.1
113,Central Mich. (MAC),32,18-14,"2,242",70.1
114,Idaho St. (Big Sky),34,14-20,"2,383",70.1
115,SIUE (OVC),33,17-16,"2,314",70.1
116,Ohio St. (Big Ten),36,22-14,"2,528",70.2
117,East Carolina (AAC),33,15-18,"2,319",70.3
117,Middle Tenn. (CUSA),33,14-19,"2,319",70.3
119,Drake (MVC),35,28-7,"2,463",70.4
120,Sacramento St. (Big Sky),34,10-24,"2,394",70.4
121,North Carolina (ACC),37,29-8,"2,608",70.5
122,Saint Joseph's (Atlantic 10),35,21-14,"2,469",70.5
123,UMES (MEAC),29,9-20,"2,046",70.6
124,Chicago St. (DI Independent),32,13-19,"2,258",70.6
125,Iona (MAAC),33,16-17,"2,329",70.6
126,Troy (Sun Belt),32,20-12,"2,261",70.7
126,UMass Lowell (America East),32,22-10,"2,261",70.7
128,Wake Forest (ACC),35,21-14,"2,473",70.7
129,New Mexico (Mountain West),36,26-10,"2,545",70.7
130,Massachusetts (Atlantic 10),31,20-11,"2,193",70.7
131,Youngstown St. (Horizon),32,22-10,"2,269",70.9
132,Nebraska (Big Ten),34,23-11,"2,411",70.9
133,Ball St. (MAC),31,15-16,"2,200",71
134,Southeastern La. (Southland),32,15-17,"2,271",71
135,Virginia Tech (ACC),34,19-15,"2,413",71
136,Fairfield (MAAC),37,24-13,"2,626",71
137,Lehigh (Patriot),32,14-18,"2,272",71
137,Tennessee St. (OVC),33,18-15,"2,343",71
137,Bowling Green (MAC),34,20-14,"2,414",71
140,Delaware St. (MEAC),34,15-19,"2,415",71
141,Southern Miss. (Sun Belt),32,16-16,"2,273",71
142,UNCW (CAA),31,21-10,"2,202",71
143,Kansas St. (Big 12),34,19-15,"2,417",71.1
144,Texas Southern (SWAC),33,16-17,"2,346",71.1
144,UNI (MVC),33,19-14,"2,346",71.1
146,Baylor (Big 12),35,24-11,"2,489",71.1
147,FGCU (ASUN),32,14-18,"2,276",71.1
148,South Dakota St. (Summit League),35,22-13,"2,490",71.1
149,Idaho (Big Sky),32,11-21,"2,278",71.2
150,Clemson (ACC),36,24-12,"2,563",71.2
151,Quinnipiac (MAAC),34,24-10,"2,422",71.2
152,Missouri St. (MVC),33,17-16,"2,352",71.3
153,Kent St. (MAC),34,17-17,"2,424",71.3
154,SFA (WAC),33,18-15,"2,353",71.3
155,Utah St. (Mountain West),35,28-7,"2,497",71.3
156,LMU (CA) (WCC),31,12-19,"2,214",71.4
157,Winthrop (Big South),32,17-15,"2,287",71.5
158,The Citadel (SoCon),32,11-21,"2,289",71.5
159,Radford (Big South),33,16-17,"2,361",71.5
159,UIC (MVC),33,12-21,"2,361",71.5
161,Chattanooga (SoCon),33,21-12,"2,362",71.6
162,Purdue Fort Wayne (Horizon),36,23-13,"2,577",71.6
163,Louisiana (Sun Belt),33,19-14,"2,365",71.7
164,Colorado (Pac-12),37,26-11,"2,654",71.7
165,TCU (Big 12),34,21-13,"2,439",71.7
166,Harvard (Ivy League),27,14-13,"1,937",71.7
167,NC State (ACC),41,26-15,"2,942",71.8
168,Mount St. Mary's (MAAC),32,13-19,"2,298",71.8
169,Montana (Big Sky),36,24-12,"2,586",71.8
170,Brown (Ivy League),31,13-18,"2,227",71.8
171,Portland St. (Big Sky),32,17-15,"2,299",71.8
172,Mercer (SoCon),33,16-17,"2,371",71.8
173,Dartmouth (Ivy League),27,6-21,"1,940",71.9
174,Boston College (ACC),36,20-16,"2,587",71.9
175,North Dakota (Summit League),32,18-14,"2,300",71.9
176,Minnesota (Big Ten),34,19-15,"2,444",71.9
177,Loyola Maryland (Patriot),32,7-25,"2,301",71.9
178,St. John's (NY) (Big East),33,20-13,"2,374",71.9
179,Texas A&M (SEC),36,21-15,"2,591",72
180,UC Riverside (Big West),34,16-18,"2,448",72
181,Arizona (Pac-12),36,27-9,"2,594",72.1
182,Campbell (CAA),32,14-18,"2,307",72.1
182,Canisius (MAAC),32,14-18,"2,307",72.1
182,Niagara (MAAC),32,16-16,"2,307",72.1
185,William & Mary (CAA),33,10-23,"2,380",72.1
186,Rider (MAAC),32,15-17,"2,308",72.1
187,Binghamton (America East),30,15-15,"2,167",72.2
188,Santa Clara (WCC),33,20-13,"2,384",72.2
189,Oregon (Pac-12),36,24-12,"2,602",72.3
190,Sacred Heart (NEC),32,16-16,"2,313",72.3
191,Stony Brook (CAA),35,20-15,"2,531",72.3
192,Northeastern (CAA),32,12-20,"2,315",72.3
193,Air Force (Mountain West),31,9-22,"2,243",72.4
194,Fordham (Atlantic 10),33,13-20,"2,389",72.4
194,Jacksonville (ASUN),33,16-17,"2,389",72.4
196,New Mexico St. (CUSA),32,13-19,"2,318",72.4
197,Columbia (Ivy League),27,13-14,"1,956",72.4
198,Little Rock (OVC),34,21-13,"2,464",72.5
199,Bethune-Cookman (SWAC),34,17-17,"2,467",72.6
200,Monmouth (CAA),33,18-15,"2,396",72.6
201,Eastern Mich. (MAC),31,13-18,"2,252",72.6
202,Oregon St. (Pac-12),32,13-19,"2,326",72.7
203,Saint Francis (PA) (NEC),30,8-22,"2,181",72.7
204,Oklahoma St. (Big 12),32,12-20,"2,327",72.7
205,Coppin St. (MEAC),29,2-27,"2,112",72.8
206,Cleveland St. (Horizon),36,21-15,"2,622",72.8
207,Omaha (Summit League),33,15-18,"2,404",72.8
208,Temple (AAC),36,16-20,"2,624",72.9
209,Lamar University (Southland),33,19-14,"2,406",72.9
210,USC Upstate (Big South),30,10-20,"2,188",72.9
211,Wichita St. (AAC),34,15-19,"2,484",73.1
212,La Salle (Atlantic 10),33,16-17,"2,411",73.1
213,UNC Asheville (Big South),34,22-12,"2,485",73.1
214,Presbyterian (Big South),33,14-19,"2,413",73.1
215,Gardner-Webb (Big South),33,17-16,"2,414",73.2
216,Oakland (Horizon),36,24-12,"2,634",73.2
217,Austin Peay (ASUN),35,19-16,"2,561",73.2
218,Indiana St. (MVC),39,32-7,"2,854",73.2
219,Utah (Pac-12),37,22-15,"2,708",73.2
220,Evansville (MVC),35,17-18,"2,562",73.2
221,Northern Ky. (Horizon),33,18-15,"2,416",73.2
222,UT Arlington (WAC),34,20-14,"2,492",73.3
223,Stetson (ASUN),35,22-13,"2,566",73.3
224,Illinois (Big Ten),38,29-9,"2,787",73.3
225,Fla. Atlantic (AAC),34,25-9,"2,495",73.4
226,Penn St. (Big Ten),33,16-17,"2,422",73.4
227,Southeast Mo. St. (OVC),31,9-22,"2,278",73.5
228,Abilene Christian (WAC),34,16-18,"2,500",73.5
229,UC Santa Barbara (Big West),31,16-15,"2,280",73.5
230,Col. of Charleston (CAA),35,27-8,"2,575",73.6
231,CSUN (Big West),34,19-15,"2,503",73.6
232,Miami (FL) (ACC),32,15-17,"2,356",73.6
233,Charleston So. (Big South),30,10-20,"2,210",73.7
234,Butler (Big East),33,18-15,"2,432",73.7
235,Wofford (SoCon),32,17-15,"2,362",73.8
236,Tennessee Tech (OVC),31,10-21,"2,289",73.8
237,Tulsa (AAC),31,16-15,"2,290",73.9
238,Ole Miss (SEC),32,20-12,"2,365",73.9
239,Fresno St. (Mountain West),33,12-21,"2,439",73.9
240,North Dakota St. (Summit League),32,15-17,"2,366",73.9
241,Nicholls (Southland),34,20-14,"2,514",73.9
242,Arizona St. (Pac-12),32,14-18,"2,368",74
243,Pepperdine (WCC),33,13-20,"2,443",74
244,Cal Poly (Big West),32,4-28,"2,371",74.1
245,New Hampshire (America East),31,16-15,"2,297",74.1
246,Howard (MEAC),35,18-17,"2,600",74.3
247,Indiana (Big Ten),33,19-14,"2,452",74.3
247,Southern California (Pac-12),33,15-18,"2,452",74.3
249,Penn (Ivy League),29,11-18,"2,157",74.4
250,ULM (Sun Belt),30,11-19,"2,233",74.4
251,Siena (MAAC),32,4-28,"2,382",74.4
252,Western Ky. (CUSA),34,22-12,"2,531",74.4
253,High Point (Big South),36,27-9,"2,680",74.4
254,Montana St. (Big Sky),35,17-18,"2,606",74.5
255,Wyoming (Mountain West),32,15-17,"2,383",74.5
256,Samford (SoCon),35,29-6,"2,607",74.5
257,Holy Cross (Patriot),33,10-23,"2,462",74.6
258,Xavier (Big East),34,16-18,"2,538",74.6
259,South Carolina St. (MEAC),32,14-18,"2,390",74.7
260,Cornell (Ivy League),30,22-8,"2,241",74.7
261,Georgia (SEC),37,20-17,"2,764",74.7
262,Georgia St. (Sun Belt),31,14-17,"2,319",74.8
263,Western Mich. (MAC),32,12-20,"2,396",74.9
264,LSU (SEC),33,17-16,"2,474",75
265,NJIT (America East),28,7-21,"2,101",75
266,UAB (AAC),35,23-12,"2,627",75.1
267,San Jose St. (Mountain West),32,9-23,"2,403",75.1
268,Eastern Wash. (Big Sky),32,21-11,"2,407",75.2
268,Georgia Tech (ACC),32,14-18,"2,407",75.2
270,Oral Roberts (Summit League),31,12-19,"2,334",75.3
271,Bryant (America East),33,20-13,"2,488",75.4
272,Elon (CAA),32,13-19,"2,413",75.4
273,Valparaiso (MVC),32,7-25,"2,416",75.5
274,Belmont (MVC),33,20-13,"2,493",75.5
275,Jackson St. (SWAC),32,15-17,"2,418",75.6
276,Syracuse (ACC),32,20-12,"2,420",75.6
277,Rice (AAC),32,11-21,"2,421",75.7
277,South Alabama (Sun Belt),32,16-16,"2,421",75.7
279,Memphis (AAC),32,22-10,"2,424",75.8
280,Robert Morris (Horizon),32,10-22,"2,425",75.8
281,Alabama A&M (SWAC),35,12-23,"2,653",75.8
282,Manhattan (MAAC),30,7-23,"2,275",75.8
283,North Florida (ASUN),32,16-16,"2,427",75.8
284,Vanderbilt (SEC),32,9-23,"2,428",75.9
285,Northwestern St. (Southland),32,9-23,"2,429",75.9
286,Furman (SoCon),33,17-16,"2,506",75.9
287,Long Beach St. (Big West),36,21-15,"2,735",76
288,North Ala. (ASUN),32,15-17,"2,435",76.1
289,Toledo (MAC),32,20-12,"2,436",76.1
290,Missouri (SEC),32,8-24,"2,438",76.2
291,Florida St. (ACC),33,17-16,"2,518",76.3
292,Rhode Island (Atlantic 10),32,12-20,"2,443",76.3
293,Hampton (CAA),33,9-24,"2,520",76.4
294,Prairie View (SWAC),31,10-21,"2,368",76.4
295,Stanford (Pac-12),32,14-18,"2,447",76.5
296,Eastern Ky. (ASUN),31,17-14,"2,371",76.5
297,Lipscomb (ASUN),32,20-12,"2,448",76.5
298,FIU (CUSA),33,11-22,"2,525",76.5
299,Northern Ariz. (Big Sky),33,14-19,"2,529",76.6
300,Marshall (Sun Belt),33,13-20,"2,531",76.7
301,UT Martin (OVC),32,21-11,"2,455",76.7
302,LIU (NEC),29,7-22,"2,227",76.8
303,West Virginia (Big 12),32,9-23,"2,459",76.8
304,Old Dominion (Sun Belt),32,7-25,"2,464",77
305,Arkansas St. (Sun Belt),37,20-17,"2,850",77
306,Northern Colo. (Big Sky),33,19-14,"2,542",77
307,California (Pac-12),32,13-19,"2,465",77
308,Washington (Pac-12),32,17-15,"2,468",77.1
309,Florida A&M (SWAC),29,6-23,"2,240",77.2
310,George Washington (Atlantic 10),32,15-17,"2,472",77.3
311,San Diego (WCC),33,18-15,"2,550",77.3
312,NIU (MAC),31,11-20,"2,399",77.4
313,Alcorn (SWAC),32,14-18,"2,477",77.4
314,Morgan St. (MEAC),31,11-20,"2,402",77.5
315,FDU (NEC),32,15-17,"2,482",77.6
316,Southern Utah (WAC),31,10-21,"2,406",77.6
317,Mississippi Val. (SWAC),31,1-30,"2,409",77.7
318,Georgetown (Big East),32,9-23,"2,492",77.9
319,N.C. A&T (CAA),32,7-25,"2,494",77.9
320,Central Ark. (ASUN),32,9-23,"2,502",78.2
321,Coastal Carolina (Sun Belt),31,9-22,"2,434",78.5
322,UIW (Southland),31,8-23,"2,436",78.6
323,Milwaukee (Horizon),35,20-15,"2,753",78.7
324,UAlbany (America East),32,13-19,"2,521",78.8
325,Michigan (Big Ten),32,8-24,"2,528",79
326,Louisville (ACC),32,8-24,"2,530",79.1
327,Florida (SEC),36,24-12,"2,851",79.2
328,South Dakota (Summit League),32,12-20,"2,535",79.2
329,Ga. Southern (Sun Belt),33,9-24,"2,615",79.2
330,Saint Louis (Atlantic 10),33,13-20,"2,620",79.4
331,Iowa (Big Ten),34,19-15,"2,700",79.4
332,New Orleans (Southland),33,10-23,"2,622",79.5
332,Portland (WCC),33,12-21,"2,622",79.5
334,Kentucky (SEC),33,23-10,"2,630",79.7
335,Buffalo (MAC),31,4-27,"2,471",79.7
336,UTRGV (WAC),31,6-25,"2,473",79.8
337,Pacific (WCC),32,6-26,"2,553",79.8
338,Arkansas (SEC),33,16-17,"2,633",79.8
339,IU Indy (Horizon),32,6-26,"2,554",79.8
340,Tulane (AAC),31,14-17,"2,481",80
341,Detroit Mercy (Horizon),32,1-31,"2,568",80.3
342,Denver (Summit League),34,17-17,"2,737",80.5
343,UMBC (America East),32,11-21,"2,583",80.7
344,Kennesaw St. (ASUN),31,15-16,"2,504",80.8
345,UTSA (AAC),32,11-21,"2,591",81
346,Wright St. (Horizon),32,18-14,"2,599",81.2
347,Alabama (SEC),37,25-12,"3,006",81.2
348,DePaul (Big East),32,3-29,"2,616",81.8
349,Ark.-Pine Bluff (SWAC),31,13-18,"2,536",81.8
350,VMI (SoCon),32,4-28,"2,644",82.6
351,Houston Christian (Southland),29,6-23,"2,420",83.4