Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Opp 3FG%
1,Louisiana (Sun Belt),33,19-14,590,163,27.6
2,N.C. Central (MEAC),31,18-13,644,181,28.1
3,UMass Lowell (America East),32,22-10,701,201,28.7
4,UAlbany (America East),32,13-19,576,167,29
5,Seattle U (WAC),37,23-14,720,210,29.2
6,Utah St. (Mountain West),35,28-7,755,221,29.3
7,Western Ill. (OVC),33,21-12,626,186,29.7
8,Mississippi St. (SEC),35,21-14,830,247,29.8
9,New Hampshire (America East),31,16-15,748,223,29.8
10,Cleveland St. (Horizon),36,21-15,784,234,29.8
11,Green Bay (Horizon),32,18-14,636,190,29.9
12,James Madison (Sun Belt),36,32-4,753,225,29.9
13,Oklahoma (Big 12),32,20-12,662,198,29.9
14,Wagner (NEC),33,17-16,727,218,30
15,Georgia St. (Sun Belt),31,14-17,733,220,30
16,Houston (Big 12),37,32-5,747,225,30.1
17,A&M-Corpus Christi (Southland),33,21-12,647,195,30.1
18,Morehead St. (OVC),35,26-9,665,201,30.2
19,Auburn (SEC),35,27-8,678,205,30.2
20,Penn St. (Big Ten),33,16-17,620,188,30.3
21,New Mexico (Mountain West),36,26-10,771,234,30.4
22,Akron (MAC),35,24-11,738,224,30.4
23,Southern Ill. (MVC),32,19-13,537,163,30.4
24,Ark.-Pine Bluff (SWAC),31,13-18,768,234,30.5
25,Virginia (ACC),34,23-11,715,218,30.5
26,Southeast Mo. St. (OVC),31,9-22,522,160,30.7
27,Colgate (Patriot),35,25-10,812,249,30.7
28,Pittsburgh (ACC),33,22-11,711,219,30.8
29,App State (Sun Belt),34,27-7,732,226,30.9
30,Delaware (CAA),33,19-14,723,224,31
31,Boise St. (Mountain West),33,22-11,671,208,31
32,San Diego St. (Mountain West),37,26-11,867,269,31
33,Hawaii (Big West),34,20-14,496,154,31
34,Charleston So. (Big South),30,10-20,563,175,31.1
35,LIU (NEC),29,7-22,588,183,31.1
36,Northern Ky. (Horizon),33,18-15,815,254,31.2
37,Miami (OH) (MAC),32,15-17,683,213,31.2
38,Tennessee (SEC),36,27-9,859,268,31.2
39,Kansas St. (Big 12),34,19-15,759,237,31.2
40,UConn (Big East),40,37-3,749,234,31.2
41,Central Mich. (MAC),32,18-14,780,244,31.3
42,VCU (Atlantic 10),38,24-14,831,260,31.3
43,Bryant (America East),33,20-13,773,242,31.3
44,Liberty (CUSA),32,18-14,571,179,31.3
45,Santa Clara (WCC),33,20-13,733,230,31.4
46,Saint Mary's (CA) (WCC),34,26-8,532,167,31.4
47,Vermont (America East),35,28-7,710,223,31.4
48,Merrimack (NEC),33,21-12,592,186,31.4
49,Richmond (Atlantic 10),33,23-10,786,247,31.4
50,Purdue (Big Ten),39,34-5,893,281,31.5
51,UMBC (America East),32,11-21,769,242,31.5
52,Nicholls (Southland),34,20-14,727,229,31.5
53,South Fla. (AAC),33,25-8,730,230,31.5
54,Iowa St. (Big 12),37,29-8,863,272,31.5
55,Charlotte (AAC),31,19-12,628,198,31.5
56,USC Upstate (Big South),30,10-20,599,189,31.6
57,Drexel (CAA),32,20-12,662,209,31.6
58,Eastern Mich. (MAC),31,13-18,712,225,31.6
59,Winthrop (Big South),32,17-15,794,251,31.6
60,Radford (Big South),33,16-17,781,247,31.6
61,SMU (AAC),33,20-13,701,222,31.7
62,Sam Houston (CUSA),33,21-12,726,230,31.7
63,South Alabama (Sun Belt),32,16-16,694,220,31.7
64,Alabama (SEC),37,25-12,873,277,31.7
65,Cal St. Fullerton (Big West),32,14-18,687,218,31.7
66,UIC (MVC),33,12-21,668,212,31.7
67,McNeese (Southland),34,30-4,879,279,31.7
68,Maine (America East),32,15-17,589,187,31.7
69,Duquesne (Atlantic 10),37,25-12,768,244,31.8
70,Marist (MAAC),31,18-13,626,199,31.8
71,Western Ky. (CUSA),34,22-12,877,279,31.8
72,Purdue Fort Wayne (Horizon),36,23-13,770,245,31.8
73,Duke (ACC),36,27-9,713,227,31.8
74,Southern U. (SWAC),32,18-14,606,193,31.8
75,UTEP (CUSA),34,18-16,608,194,31.9
76,UC Davis (Big West),33,20-13,601,192,31.9
77,Hampton (CAA),33,9-24,820,262,32
78,Dayton (Atlantic 10),33,25-8,782,250,32
79,Grand Canyon (WAC),35,30-5,694,222,32
80,BYU (Big 12),34,23-11,681,218,32
81,Colorado (Pac-12),37,26-11,787,252,32
82,Texas St. (Sun Belt),35,17-18,687,220,32
83,Kansas City (Summit League),32,16-16,637,204,32
84,Northern Ariz. (Big Sky),33,14-19,649,208,32
85,Nevada (Mountain West),34,26-8,783,251,32.1
86,North Carolina (ACC),37,29-8,817,262,32.1
87,Temple (AAC),36,16-20,807,259,32.1
88,UNLV (Mountain West),34,21-13,757,243,32.1
89,Utah Valley (WAC),32,16-16,629,202,32.1
90,Colorado St. (Mountain West),36,25-11,684,220,32.2
91,Southeastern La. (Southland),32,15-17,823,265,32.2
92,UNC Asheville (Big South),34,22-12,745,240,32.2
93,Texas Tech (Big 12),34,23-11,776,250,32.2
94,Northwestern St. (Southland),32,9-23,692,223,32.2
95,Creighton (Big East),35,25-10,648,209,32.3
96,Little Rock (OVC),34,21-13,772,249,32.3
97,Austin Peay (ASUN),35,19-16,713,230,32.3
98,Butler (Big East),33,18-15,777,251,32.3
99,Texas Southern (SWAC),33,16-17,684,221,32.3
100,Tulsa (AAC),31,16-15,721,233,32.3
101,Navy (Patriot),31,13-18,683,221,32.4
102,Chicago St. (DI Independent),32,13-19,618,200,32.4
103,CSUN (Big West),34,19-15,908,294,32.4
104,Bucknell (Patriot),33,14-19,772,250,32.4
105,Abilene Christian (WAC),34,16-18,613,199,32.5
106,Washington St. (Pac-12),35,25-10,616,200,32.5
107,Notre Dame (ACC),33,13-20,702,228,32.5
108,UT Martin (OVC),32,21-11,886,288,32.5
109,Columbia (Ivy League),27,13-14,695,226,32.5
110,Belmont (MVC),33,20-13,827,269,32.5
111,Nebraska (Big Ten),34,23-11,885,288,32.5
112,Army West Point (Patriot),32,10-22,679,221,32.5
113,Princeton (Ivy League),29,24-5,629,205,32.6
114,Georgia Tech (ACC),32,14-18,779,254,32.6
115,Florida (SEC),36,24-12,748,244,32.6
116,Illinois St. (MVC),32,15-17,702,229,32.6
117,Kent St. (MAC),34,17-17,757,247,32.6
118,Michigan St. (Big Ten),35,20-15,806,263,32.6
119,Wichita St. (AAC),34,15-19,809,264,32.6
120,UC Santa Barbara (Big West),31,16-15,636,208,32.7
121,Bradley (MVC),35,23-12,749,245,32.7
121,ETSU (SoCon),35,19-16,749,245,32.7
123,Saint Peter's (MAAC),33,19-14,590,193,32.7
124,Rutgers (Big Ten),32,15-17,709,232,32.7
125,East Carolina (AAC),33,15-18,788,258,32.7
126,Maryland (Big Ten),33,16-17,549,180,32.8
127,Villanova (Big East),34,18-16,872,286,32.8
128,UMES (MEAC),29,9-20,585,192,32.8
129,Towson (CAA),34,20-14,676,222,32.8
130,Western Caro. (SoCon),32,22-10,612,201,32.8
131,Brown (Ivy League),31,13-18,687,226,32.9
132,Tennessee St. (OVC),33,18-15,632,208,32.9
133,Middle Tenn. (CUSA),33,14-19,589,194,32.9
134,Coastal Carolina (Sun Belt),31,9-22,935,308,32.9
135,Arizona (Pac-12),36,27-9,853,281,32.9
136,Seton Hall (Big East),37,25-12,931,307,33
137,Saint Joseph's (Atlantic 10),35,21-14,884,292,33
138,TCU (Big 12),34,21-13,678,224,33
139,Missouri St. (MVC),33,17-16,802,265,33
140,Oregon St. (Pac-12),32,13-19,699,231,33
141,North Texas (AAC),34,19-15,641,212,33.1
142,William & Mary (CAA),33,10-23,695,230,33.1
143,Georgia (SEC),37,20-17,852,282,33.1
144,Wake Forest (ACC),35,21-14,725,240,33.1
145,Clemson (ACC),36,24-12,879,291,33.1
146,UNC Greensboro (SoCon),32,21-11,803,266,33.1
147,Drake (MVC),35,28-7,775,257,33.2
148,Kentucky (SEC),33,23-10,859,285,33.2
149,Gardner-Webb (Big South),33,17-16,669,222,33.2
150,Youngstown St. (Horizon),32,22-10,722,240,33.2
151,Miami (FL) (ACC),32,15-17,920,306,33.3
152,Ohio (MAC),33,20-13,715,238,33.3
153,UCLA (Pac-12),33,16-17,748,249,33.3
154,Cornell (Ivy League),30,22-8,760,253,33.3
155,Campbell (CAA),32,14-18,825,275,33.3
155,Davidson (Atlantic 10),32,15-17,756,252,33.3
155,Louisiana Tech (CUSA),32,22-10,666,222,33.3
155,UC Irvine (Big West),34,24-10,603,201,33.3
159,San Francisco (WCC),34,23-11,692,231,33.4
160,Montana (Big Sky),36,24-12,673,225,33.4
161,Quinnipiac (MAAC),34,24-10,768,257,33.5
162,Xavier (Big East),34,16-18,747,250,33.5
163,St. Bonaventure (Atlantic 10),33,20-13,732,245,33.5
164,Montana St. (Big Sky),35,17-18,681,228,33.5
165,NC State (ACC),41,26-15,887,297,33.5
166,LSU (SEC),33,17-16,821,275,33.5
167,Lamar University (Southland),33,19-14,767,257,33.5
168,Massachusetts (Atlantic 10),31,20-11,674,226,33.5
169,Stetson (ASUN),35,22-13,823,276,33.5
170,Utah (Pac-12),37,22-15,855,287,33.6
171,Gonzaga (WCC),35,27-8,795,267,33.6
172,Texas (Big 12),34,21-13,637,214,33.6
173,Cincinnati (Big 12),37,22-15,747,251,33.6
174,Baylor (Big 12),35,24-11,708,238,33.6
175,Bethune-Cookman (SWAC),34,17-17,669,225,33.6
176,San Diego (WCC),33,18-15,776,261,33.6
177,North Dakota (Summit League),32,18-14,636,214,33.6
178,Washington (Pac-12),32,17-15,698,235,33.7
179,Mercer (SoCon),33,16-17,662,223,33.7
180,Marquette (Big East),37,27-10,923,311,33.7
181,Binghamton (America East),30,15-15,691,233,33.7
182,California Baptist (WAC),33,16-17,507,171,33.7
183,Fla. Atlantic (AAC),34,25-9,756,255,33.7
184,Alabama St. (SWAC),32,13-19,726,245,33.7
185,Ole Miss (SEC),32,20-12,708,239,33.8
186,Jacksonville St. (CUSA),32,14-18,619,209,33.8
187,Harvard (Ivy League),27,14-13,684,231,33.8
188,Yale (Ivy League),33,23-10,784,265,33.8
189,Samford (SoCon),35,29-6,822,278,33.8
190,Texas A&M (SEC),36,21-15,940,318,33.8
191,Norfolk St. (MEAC),35,24-11,842,285,33.8
192,Robert Morris (Horizon),32,10-22,644,218,33.9
193,Oakland (Horizon),36,24-12,889,301,33.9
194,Rider (MAAC),32,15-17,723,245,33.9
195,South Carolina (SEC),34,26-8,599,203,33.9
196,Virginia Tech (ACC),34,19-15,658,223,33.9
197,Arkansas (SEC),33,16-17,696,236,33.9
198,Central Conn. St. (NEC),31,20-11,634,215,33.9
199,New Orleans (Southland),33,10-23,631,214,33.9
200,Arizona St. (Pac-12),32,14-18,740,251,33.9
201,Canisius (MAAC),32,14-18,601,204,33.9
202,Houston Christian (Southland),29,6-23,648,220,34
203,Chattanooga (SoCon),33,21-12,860,292,34
204,Iona (MAAC),33,16-17,698,237,34
205,Memphis (AAC),32,22-10,854,290,34
206,Fairfield (MAAC),37,24-13,792,269,34
207,Elon (CAA),32,13-19,783,266,34
208,Howard (MEAC),35,18-17,668,227,34
209,CSU Bakersfield (Big West),32,13-19,612,208,34
210,UCF (Big 12),33,17-16,712,242,34
211,South Carolina St. (MEAC),32,14-18,644,219,34
212,Monmouth (CAA),33,18-15,829,282,34
213,Oklahoma St. (Big 12),32,12-20,623,212,34
214,Kansas (Big 12),34,23-11,849,289,34
215,Illinois (Big Ten),38,29-9,684,233,34.1
216,New Mexico St. (CUSA),32,13-19,766,261,34.1
217,LMU (CA) (WCC),31,12-19,578,197,34.1
218,Toledo (MAC),32,20-12,710,242,34.1
219,Southern Miss. (Sun Belt),32,16-16,663,226,34.1
220,Southern Utah (WAC),31,10-21,522,178,34.1
221,Western Mich. (MAC),32,12-20,736,251,34.1
222,Loyola Chicago (Atlantic 10),33,23-10,668,228,34.1
223,Syracuse (ACC),32,20-12,732,250,34.2
224,Wyoming (Mountain West),32,15-17,767,262,34.2
225,Ball St. (MAC),31,15-16,643,220,34.2
226,Lafayette (Patriot),32,11-21,692,237,34.2
227,Indiana (Big Ten),33,19-14,829,284,34.3
228,Providence (Big East),35,21-14,715,245,34.3
229,Furman (SoCon),33,17-16,709,243,34.3
230,Col. of Charleston (CAA),35,27-8,784,269,34.3
231,Morgan St. (MEAC),31,11-20,612,210,34.3
232,High Point (Big South),36,27-9,676,232,34.3
233,Missouri (SEC),32,8-24,724,249,34.4
234,Boston U. (Patriot),33,16-17,718,247,34.4
235,UAB (AAC),35,23-12,779,268,34.4
236,Hofstra (CAA),33,20-13,796,274,34.4
237,North Florida (ASUN),32,16-16,581,200,34.4
238,Grambling (SWAC),36,21-15,703,242,34.4
239,Northwestern (Big Ten),34,22-12,668,230,34.4
240,Indiana St. (MVC),39,32-7,819,282,34.4
241,Milwaukee (Horizon),35,20-15,836,288,34.4
242,Coppin St. (MEAC),29,2-27,606,209,34.5
243,Lehigh (Patriot),32,14-18,695,240,34.5
244,UNI (MVC),33,19-14,770,266,34.5
245,Mount St. Mary's (MAAC),32,13-19,657,227,34.6
246,Jacksonville (ASUN),33,16-17,738,255,34.6
247,Boston College (ACC),36,20-16,801,277,34.6
248,Weber St. (Big Sky),32,20-12,636,220,34.6
249,UTRGV (WAC),31,6-25,638,221,34.6
250,Long Beach St. (Big West),36,21-15,967,335,34.6
251,Saint Francis (PA) (NEC),30,8-22,640,222,34.7
252,Longwood (Big South),35,21-14,761,264,34.7
253,George Mason (Atlantic 10),32,20-12,752,261,34.7
254,Ohio St. (Big Ten),36,22-14,717,249,34.7
255,UT Arlington (WAC),34,20-14,691,240,34.7
256,Stony Brook (CAA),35,20-15,901,313,34.7
257,Prairie View (SWAC),31,10-21,561,195,34.8
258,George Washington (Atlantic 10),32,15-17,810,282,34.8
259,Tulane (AAC),31,14-17,838,292,34.8
260,NJIT (America East),28,7-21,568,198,34.9
261,Sacramento St. (Big Sky),34,10-24,720,251,34.9
262,South Dakota St. (Summit League),35,22-13,978,341,34.9
263,Kennesaw St. (ASUN),31,15-16,742,259,34.9
264,Oregon (Pac-12),36,24-12,758,265,35
265,Presbyterian (Big South),33,14-19,632,221,35
266,Troy (Sun Belt),32,20-12,609,213,35
267,North Ala. (ASUN),32,15-17,649,227,35
268,West Virginia (Big 12),32,9-23,846,296,35
269,St. John's (NY) (Big East),33,20-13,683,239,35
270,Wofford (SoCon),32,17-15,800,280,35
271,Idaho St. (Big Sky),34,14-20,568,199,35
272,UNCW (CAA),31,21-10,645,226,35
273,Evansville (MVC),35,17-18,899,315,35
274,The Citadel (SoCon),32,11-21,749,263,35.1
275,Northern Colo. (Big Sky),33,19-14,811,285,35.1
276,Eastern Ill. (OVC),32,14-18,637,224,35.2
277,Cal Poly (Big West),32,4-28,543,191,35.2
278,Alabama A&M (SWAC),35,12-23,742,261,35.2
279,ULM (Sun Belt),30,11-19,776,273,35.2
280,N.C. A&T (CAA),32,7-25,719,253,35.2
281,Siena (MAAC),32,4-28,656,231,35.2
282,Arkansas St. (Sun Belt),37,20-17,602,212,35.2
283,Tennessee Tech (OVC),31,10-21,690,243,35.2
284,La Salle (Atlantic 10),33,16-17,633,223,35.2
285,Jackson St. (SWAC),32,15-17,738,260,35.2
286,Portland St. (Big Sky),32,17-15,701,247,35.2
287,Niagara (MAAC),32,16-16,508,179,35.2
288,Old Dominion (Sun Belt),32,7-25,794,280,35.3
289,Idaho (Big Sky),32,11-21,669,236,35.3
290,Georgetown (Big East),32,9-23,703,248,35.3
291,Sacred Heart (NEC),32,16-16,771,272,35.3
292,Pacific (WCC),32,6-26,739,261,35.3
293,FGCU (ASUN),32,14-18,792,280,35.4
294,Denver (Summit League),34,17-17,749,265,35.4
295,Valparaiso (MVC),32,7-25,661,234,35.4
296,Florida St. (ACC),33,17-16,723,256,35.4
297,Ga. Southern (Sun Belt),33,9-24,708,251,35.5
298,Omaha (Summit League),33,15-18,806,286,35.5
299,FDU (NEC),32,15-17,780,277,35.5
300,Lipscomb (ASUN),32,20-12,754,268,35.5
301,UC Riverside (Big West),34,16-18,632,225,35.6
302,UIW (Southland),31,8-23,639,228,35.7
303,VMI (SoCon),32,4-28,821,293,35.7
304,California (Pac-12),32,13-19,706,252,35.7
305,Rhode Island (Atlantic 10),32,12-20,776,277,35.7
306,Stanford (Pac-12),32,14-18,759,271,35.7
307,Fordham (Atlantic 10),33,13-20,557,199,35.7
308,Oral Roberts (Summit League),31,12-19,722,258,35.7
309,Iowa (Big Ten),34,19-15,760,272,35.8
310,Loyola Maryland (Patriot),32,7-25,659,236,35.8
311,Penn (Ivy League),29,11-18,748,268,35.8
312,North Dakota St. (Summit League),32,15-17,647,232,35.9
313,South Dakota (Summit League),32,12-20,796,286,35.9
314,Marshall (Sun Belt),33,13-20,718,258,35.9
315,Minnesota (Big Ten),34,19-15,609,219,36
316,Eastern Wash. (Big Sky),32,21-11,781,281,36
317,Wright St. (Horizon),32,18-14,760,274,36.1
318,Michigan (Big Ten),32,8-24,649,234,36.1
319,SIUE (OVC),33,17-16,690,249,36.1
320,Florida A&M (SWAC),29,6-23,626,226,36.1
321,Delaware St. (MEAC),34,15-19,764,277,36.3
322,NIU (MAC),31,11-20,681,247,36.3
323,Bowling Green (MAC),34,20-14,700,254,36.3
324,Buffalo (MAC),31,4-27,688,250,36.3
325,Dartmouth (Ivy League),27,6-21,673,245,36.4
326,Southern California (Pac-12),33,15-18,768,280,36.5
327,Saint Louis (Atlantic 10),33,13-20,830,303,36.5
328,Air Force (Mountain West),31,9-22,598,219,36.6
329,Murray St. (MVC),32,12-20,743,273,36.7
330,Manhattan (MAAC),30,7-23,617,227,36.8
331,UTSA (AAC),32,11-21,761,280,36.8
332,Wisconsin (Big Ten),36,22-14,672,248,36.9
333,Mississippi Val. (SWAC),31,1-30,624,231,37
334,Detroit Mercy (Horizon),32,1-31,699,259,37.1
335,American (Patriot),32,16-16,733,272,37.1
336,SFA (WAC),33,18-15,665,247,37.1
337,Louisville (ACC),32,8-24,740,275,37.2
338,Central Ark. (ASUN),32,9-23,812,302,37.2
339,Fresno St. (Mountain West),33,12-21,722,269,37.3
340,Vanderbilt (SEC),32,9-23,744,278,37.4
341,Eastern Ky. (ASUN),31,17-14,677,253,37.4
342,Northeastern (CAA),32,12-20,696,261,37.5
343,Alcorn (SWAC),32,14-18,828,311,37.6
344,Rice (AAC),32,11-21,748,281,37.6
345,IU Indy (Horizon),32,6-26,685,258,37.7
346,Portland (WCC),33,12-21,933,354,37.9
347,Pepperdine (WCC),33,13-20,577,219,38
348,DePaul (Big East),32,3-29,801,305,38.1
349,Holy Cross (Patriot),33,10-23,758,290,38.3
350,San Jose St. (Mountain West),32,9-23,638,247,38.7
351,FIU (CUSA),33,11-22,676,267,39.5