Rank,Team,GM,Opp TO,TO PG
1,UTEP (CUSA),34,636,18.71
2,FIU (CUSA),33,570,17.27
3,Iowa St. (Big 12),37,636,17.19
4,SFA (WAC),33,563,17.06
5,Samford (SoCon),35,583,16.66
6,Prairie View (SWAC),31,516,16.65
7,Bethune-Cookman (SWAC),34,562,16.53
8,Southern U. (SWAC),32,528,16.50
9,McNeese (Southland),34,556,16.35
10,Merrimack (NEC),33,536,16.24
11,Purdue Fort Wayne (Horizon),36,581,16.14
12,Houston (Big 12),37,585,15.81
13,Delaware St. (MEAC),34,531,15.62
14,Troy (Sun Belt),32,496,15.50
15,Norfolk St. (MEAC),35,538,15.37
16,South Carolina St. (MEAC),32,487,15.22
17,Iona (MAAC),33,502,15.21
18,A&M-Corpus Christi (Southland),33,494,14.97
19,Florida St. (ACC),33,493,14.94
20,Rutgers (Big Ten),32,477,14.91
21,Coppin St. (MEAC),29,431,14.86
22,Louisiana (Sun Belt),33,487,14.76
23,TCU (Big 12),34,501,14.74
24,Marquette (Big East),37,544,14.70
25,Penn St. (Big Ten),33,484,14.67
26,New Orleans (Southland),33,483,14.64
27,Alabama St. (SWAC),32,468,14.63
28,UC Davis (Big West),33,481,14.58
29,Abilene Christian (WAC),34,495,14.56
30,Northern Ky. (Horizon),33,480,14.55
31,FDU (NEC),32,464,14.50
31,Sacred Heart (NEC),32,464,14.50
33,Syracuse (ACC),32,463,14.47
34,UTRGV (WAC),31,448,14.45
35,Chicago St. (DI Independent),32,462,14.44
36,James Madison (Sun Belt),36,516,14.33
37,UCF (Big 12),33,469,14.21
38,Eastern Ill. (OVC),32,454,14.19
39,Western Ky. (CUSA),34,480,14.12
40,Alabama A&M (SWAC),35,492,14.06
41,Lamar University (Southland),33,463,14.03
42,New Mexico (Mountain West),36,504,14.00
43,N.C. Central (MEAC),31,432,13.94
44,Fairfield (MAAC),37,515,13.92
45,Grand Canyon (WAC),35,487,13.91
46,San Francisco (WCC),34,473,13.91
47,Fordham (Atlantic 10),33,459,13.91
48,Memphis (AAC),32,443,13.84
49,Cleveland St. (Horizon),36,497,13.81
50,Arizona St. (Pac-12),32,439,13.72
51,Ohio (MAC),33,452,13.70
52,UT Arlington (WAC),34,465,13.68
53,Long Beach St. (Big West),36,491,13.64
54,Longwood (Big South),35,477,13.63
55,UMES (MEAC),29,395,13.62
56,Saint Peter's (MAAC),33,449,13.61
57,Navy (Patriot),31,420,13.55
58,Montana St. (Big Sky),35,474,13.54
59,IU Indy (Horizon),32,432,13.50
60,Sam Houston (CUSA),33,445,13.48
61,Kennesaw St. (ASUN),31,418,13.48
62,Marist (MAAC),31,417,13.45
63,USC Upstate (Big South),30,403,13.43
64,Tennessee St. (OVC),33,443,13.42
65,Arizona (Pac-12),36,483,13.42
66,Northwestern St. (Southland),32,429,13.41
67,Cornell (Ivy League),30,402,13.40
68,CSUN (Big West),34,455,13.38
69,ETSU (SoCon),35,468,13.37
70,Jackson St. (SWAC),32,427,13.34
71,Winthrop (Big South),32,426,13.31
72,San Diego (WCC),33,439,13.30
73,Southern California (Pac-12),33,438,13.27
74,Kent St. (MAC),34,450,13.24
75,CSU Bakersfield (Big West),32,422,13.19
75,Maine (America East),32,422,13.19
77,Massachusetts (Atlantic 10),31,407,13.13
78,Duquesne (Atlantic 10),37,485,13.11
79,Portland St. (Big Sky),32,419,13.09
80,Toledo (MAC),32,418,13.06
81,Tennessee (SEC),36,469,13.03
82,SMU (AAC),33,428,12.97
83,Old Dominion (Sun Belt),32,415,12.97
83,UAlbany (America East),32,415,12.97
85,Tulsa (AAC),31,402,12.97
86,Texas St. (Sun Belt),35,453,12.94
87,Quinnipiac (MAAC),34,440,12.94
88,Morgan St. (MEAC),31,401,12.94
88,Tulane (AAC),31,401,12.94
90,LSU (SEC),33,426,12.91
90,Presbyterian (Big South),33,426,12.91
90,St. Bonaventure (Atlantic 10),33,426,12.91
90,St. John's (NY) (Big East),33,426,12.91
94,Texas (Big 12),34,438,12.88
95,Auburn (SEC),35,449,12.83
96,Lehigh (Patriot),32,410,12.81
97,Grambling (SWAC),36,461,12.81
98,Missouri (SEC),32,409,12.78
98,Utah Valley (WAC),32,409,12.78
100,Central Conn. St. (NEC),31,396,12.77
101,UNC Asheville (Big South),34,434,12.76
102,South Fla. (AAC),33,420,12.73
103,Louisiana Tech (CUSA),32,406,12.69
104,Texas Southern (SWAC),33,418,12.67
105,Mississippi St. (SEC),35,443,12.66
106,Kansas City (Summit League),32,405,12.66
106,Weber St. (Big Sky),32,405,12.66
108,Southeast Mo. St. (OVC),31,392,12.65
109,Jacksonville (ASUN),33,417,12.64
110,Bryant (America East),33,416,12.61
110,Maryland (Big Ten),33,416,12.61
112,Mount St. Mary's (MAAC),32,403,12.59
113,East Carolina (AAC),33,415,12.58
114,Cal St. Fullerton (Big West),32,402,12.56
115,Loyola Chicago (Atlantic 10),33,414,12.55
116,Jacksonville St. (CUSA),32,401,12.53
117,Southern Utah (WAC),31,388,12.52
118,Bradley (MVC),35,438,12.51
119,Little Rock (OVC),34,425,12.50
120,Miami (OH) (MAC),32,399,12.47
121,Columbia (Ivy League),27,336,12.44
122,Ole Miss (SEC),32,398,12.44
123,San Diego St. (Mountain West),37,460,12.43
124,Northwestern (Big Ten),34,422,12.41
125,UC Irvine (Big West),34,421,12.38
126,Valparaiso (MVC),32,396,12.38
127,UNCW (CAA),31,383,12.35
128,UNLV (Mountain West),34,420,12.35
129,Seattle U (WAC),37,457,12.35
130,Michigan St. (Big Ten),35,432,12.34
131,SIUE (OVC),33,407,12.33
132,North Texas (AAC),34,419,12.32
133,Drake (MVC),35,431,12.31
134,Oregon (Pac-12),36,442,12.28
135,ULM (Sun Belt),30,368,12.27
136,New Hampshire (America East),31,380,12.26
137,Southern Miss. (Sun Belt),32,392,12.25
138,Howard (MEAC),35,428,12.23
139,NC State (ACC),41,501,12.22
140,Mercer (SoCon),33,403,12.21
141,Idaho St. (Big Sky),34,415,12.21
142,Saint Joseph's (Atlantic 10),35,427,12.20
143,Wright St. (Horizon),32,390,12.19
144,UIC (MVC),33,402,12.18
145,Seton Hall (Big East),37,450,12.16
146,Ga. Southern (Sun Belt),33,401,12.15
147,Evansville (MVC),35,425,12.14
148,South Alabama (Sun Belt),32,388,12.13
149,Monmouth (CAA),33,400,12.12
150,Belmont (MVC),33,398,12.06
151,Furman (SoCon),33,397,12.03
152,Cincinnati (Big 12),37,445,12.03
153,Eastern Wash. (Big Sky),32,384,12.00
153,Iowa (Big Ten),34,408,12.00
153,Virginia (ACC),34,408,12.00
156,Hofstra (CAA),33,395,11.97
157,Youngstown St. (Horizon),32,383,11.97
158,Temple (AAC),36,430,11.94
159,Southeastern La. (Southland),32,382,11.94
160,Utah St. (Mountain West),35,417,11.91
161,Bowling Green (MAC),34,405,11.91
161,Nevada (Mountain West),34,405,11.91
163,Ball St. (MAC),31,369,11.90
163,Brown (Ivy League),31,369,11.90
165,Cal Poly (Big West),32,380,11.88
165,Detroit Mercy (Horizon),32,380,11.88
167,Manhattan (MAAC),30,356,11.87
167,Saint Francis (PA) (NEC),30,356,11.87
169,Kentucky (SEC),33,391,11.85
169,Marshall (Sun Belt),33,391,11.85
171,Campbell (CAA),32,379,11.84
171,Murray St. (MVC),32,379,11.84
173,Baylor (Big 12),35,414,11.83
174,NJIT (America East),28,331,11.82
175,Alcorn (SWAC),32,378,11.81
175,UMass Lowell (America East),32,378,11.81
177,UCLA (Pac-12),33,388,11.76
178,Lafayette (Patriot),32,376,11.75
179,Providence (Big East),35,411,11.74
180,Davidson (Atlantic 10),32,375,11.72
180,VMI (SoCon),32,375,11.72
182,Ark.-Pine Bluff (SWAC),31,362,11.68
183,Miami (FL) (ACC),32,373,11.66
183,New Mexico St. (CUSA),32,373,11.66
185,Northern Ariz. (Big Sky),33,384,11.64
186,Liberty (CUSA),32,372,11.63
187,Kansas (Big 12),34,395,11.62
188,Oregon St. (Pac-12),32,371,11.59
188,UNC Greensboro (SoCon),32,371,11.59
188,Washington (Pac-12),32,371,11.59
191,Fla. Atlantic (AAC),34,394,11.59
192,Pepperdine (WCC),33,381,11.55
192,Richmond (Atlantic 10),33,381,11.55
194,Akron (MAC),35,404,11.54
194,Milwaukee (Horizon),35,404,11.54
196,Lipscomb (ASUN),32,369,11.53
196,Oklahoma St. (Big 12),32,369,11.53
196,Pacific (WCC),32,369,11.53
199,Colorado St. (Mountain West),36,415,11.53
200,Florida A&M (SWAC),29,334,11.52
201,Butler (Big East),33,380,11.52
202,Col. of Charleston (CAA),35,403,11.51
202,UAB (AAC),35,403,11.51
204,Rider (MAAC),32,368,11.50
204,Virginia Tech (ACC),34,391,11.50
206,Central Ark. (ASUN),32,367,11.47
207,Gardner-Webb (Big South),33,378,11.45
208,Nicholls (Southland),34,389,11.44
208,Texas Tech (Big 12),34,389,11.44
208,Xavier (Big East),34,389,11.44
211,Louisville (ACC),32,366,11.44
212,Georgia (SEC),37,423,11.43
213,Austin Peay (ASUN),35,400,11.43
214,Boise St. (Mountain West),33,377,11.42
215,Mississippi Val. (SWAC),31,354,11.42
216,Boston U. (Patriot),33,376,11.39
217,Nebraska (Big Ten),34,387,11.38
218,LIU (NEC),29,330,11.38
219,Oklahoma (Big 12),32,364,11.38
219,UMBC (America East),32,364,11.38
221,UNI (MVC),33,375,11.36
222,Texas A&M (SEC),36,409,11.36
223,Niagara (MAAC),32,363,11.34
224,Wake Forest (ACC),35,397,11.34
225,Northern Colo. (Big Sky),33,374,11.33
226,Duke (ACC),36,407,11.31
227,Omaha (Summit League),33,373,11.30
228,Alabama (SEC),37,418,11.30
229,Eastern Ky. (ASUN),31,350,11.29
230,South Dakota St. (Summit League),35,395,11.29
231,Canisius (MAAC),32,361,11.28
232,Wisconsin (Big Ten),36,406,11.28
233,Wyoming (Mountain West),32,360,11.25
234,Kansas St. (Big 12),34,382,11.24
235,Colgate (Patriot),35,393,11.23
236,Air Force (Mountain West),31,348,11.23
237,Central Mich. (MAC),32,359,11.22
238,BYU (Big 12),34,381,11.21
239,Indiana St. (MVC),39,437,11.21
240,Gonzaga (WCC),35,392,11.20
241,Oakland (Horizon),36,403,11.19
242,Stanford (Pac-12),32,358,11.19
243,VCU (Atlantic 10),38,425,11.18
244,UIW (Southland),31,346,11.16
245,Northeastern (CAA),32,357,11.16
246,Georgetown (Big East),32,356,11.13
247,Middle Tenn. (CUSA),33,367,11.12
247,Wagner (NEC),33,367,11.12
249,Elon (CAA),32,355,11.09
249,Idaho (Big Sky),32,355,11.09
251,Pittsburgh (ACC),33,366,11.09
252,UC Riverside (Big West),34,377,11.09
253,Princeton (Ivy League),29,321,11.07
254,The Citadel (SoCon),32,354,11.06
255,Arkansas (SEC),33,365,11.06
255,Yale (Ivy League),33,365,11.06
257,Harvard (Ivy League),27,298,11.04
258,Towson (CAA),34,375,11.03
259,Western Mich. (MAC),32,352,11.00
260,Hawaii (Big West),34,371,10.91
260,Minnesota (Big Ten),34,371,10.91
262,NIU (MAC),31,338,10.90
263,Hampton (CAA),33,359,10.88
264,Army West Point (Patriot),32,348,10.88
264,Robert Morris (Horizon),32,348,10.88
266,Saint Mary's (CA) (WCC),34,369,10.85
267,N.C. A&T (CAA),32,347,10.84
267,Vanderbilt (SEC),32,347,10.84
269,La Salle (Atlantic 10),33,357,10.82
270,Southern Ill. (MVC),32,346,10.81
271,Florida (SEC),36,389,10.81
272,American (Patriot),32,345,10.78
272,Illinois St. (MVC),32,345,10.78
274,Ohio St. (Big Ten),36,388,10.78
275,Oral Roberts (Summit League),31,334,10.77
276,Boston College (ACC),36,386,10.72
277,George Mason (Atlantic 10),32,343,10.72
277,North Dakota (Summit League),32,343,10.72
277,San Jose St. (Mountain West),32,343,10.72
280,Bucknell (Patriot),33,353,10.70
281,Buffalo (MAC),31,331,10.68
281,Eastern Mich. (MAC),31,331,10.68
283,Denver (Summit League),34,362,10.65
284,UT Martin (OVC),32,340,10.63
285,Villanova (Big East),34,361,10.62
286,Colorado (Pac-12),37,392,10.59
286,North Carolina (ACC),37,392,10.59
288,Stony Brook (CAA),35,370,10.57
289,UConn (Big East),40,422,10.55
290,Georgia St. (Sun Belt),31,326,10.52
291,Fresno St. (Mountain West),33,347,10.52
292,California (Pac-12),32,336,10.50
292,North Florida (ASUN),32,336,10.50
294,Morehead St. (OVC),35,367,10.49
295,Radford (Big South),33,346,10.48
296,App State (Sun Belt),34,356,10.47
297,Washington St. (Pac-12),35,365,10.43
298,Tennessee Tech (OVC),31,323,10.42
299,Chattanooga (SoCon),33,343,10.39
300,FGCU (ASUN),32,332,10.38
300,West Virginia (Big 12),32,332,10.38
302,Dayton (Atlantic 10),33,342,10.36
303,Houston Christian (Southland),29,300,10.34
304,Loyola Maryland (Patriot),32,331,10.34
305,Indiana (Big Ten),33,341,10.33
306,Sacramento St. (Big Sky),34,350,10.29
307,Rice (AAC),32,328,10.25
308,Wichita St. (AAC),34,348,10.24
309,Santa Clara (WCC),33,337,10.21
310,California Baptist (WAC),33,336,10.18
311,North Ala. (ASUN),32,325,10.16
312,Saint Louis (Atlantic 10),33,335,10.15
313,Utah (Pac-12),37,375,10.14
314,Delaware (CAA),33,334,10.12
314,Western Ill. (OVC),33,334,10.12
316,George Washington (Atlantic 10),32,323,10.09
317,Charlotte (AAC),31,311,10.03
318,Vermont (America East),35,351,10.03
319,High Point (Big South),36,360,10.00
319,UC Santa Barbara (Big West),31,310,10.00
321,Arkansas St. (Sun Belt),37,369,9.97
322,Penn (Ivy League),29,289,9.97
323,Notre Dame (ACC),33,328,9.94
324,DePaul (Big East),32,318,9.94
324,Siena (MAAC),32,318,9.94
326,William & Mary (CAA),33,323,9.79
327,South Carolina (SEC),34,332,9.76
328,Western Caro. (SoCon),32,311,9.72
329,Montana (Big Sky),36,349,9.69
330,Stetson (ASUN),35,335,9.57
331,Michigan (Big Ten),32,306,9.56
332,Wofford (SoCon),32,305,9.53
333,Charleston So. (Big South),30,285,9.50
334,Clemson (ACC),36,341,9.47
335,North Dakota St. (Summit League),32,303,9.47
335,UTSA (AAC),32,303,9.47
337,Coastal Carolina (Sun Belt),31,293,9.45
338,Purdue (Big Ten),39,368,9.44
339,Binghamton (America East),30,281,9.37
340,Dartmouth (Ivy League),27,252,9.33
341,Green Bay (Horizon),32,297,9.28
342,Missouri St. (MVC),33,301,9.12
342,Portland (WCC),33,301,9.12
344,Drexel (CAA),32,289,9.03
344,Rhode Island (Atlantic 10),32,289,9.03
346,Georgia Tech (ACC),32,283,8.84
347,South Dakota (Summit League),32,281,8.78
348,Illinois (Big Ten),38,331,8.71
349,LMU (CA) (WCC),31,264,8.52
350,Holy Cross (Patriot),33,278,8.42
351,Creighton (Big East),35,266,7.60